,Type,DCLX009B,DCLX009C,DCLX003C,DCLX004A,DCLX005C,DCLX005D,DCLX007B,DCLX007C,DCLX011A,DCLX011B,DCLX008C,DCLX009A,DCLX003A,DCLX003B,DCLX004B,DCLX004C,DCLX005E,DCLX007A,DCLX008A,DCLX008B,DCLX012A,DCLX012B,DCLX003F,DCLX003G,DCLX008E,DCLX009D,DCLX005A,DCLX005B,DCLX006B,DCLX006C,DCLX010A,DCLX010B,DCLX012C,DCLX012D,DCLX003D,DCLX003E,DCLX007E,DCLX008D,DCLX004D,DCLX004E,DCLX006A,DCLX006D,DCLX007D,DCLX009E,DCLX010C,DCLX010D,DCLX011C,DCLX011D
Acremonium_persicinum_MAG|g3296.t1,NRPS-like,0,0.047250618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698415897,0.165618538,0.285688979,1.359940703,0.01456972,0.120023365,0,0.016371163,0,0.040166408,0,0.01282461,0,0,0.594603664,0.165070366,2.768864373,0.616741154,0.46679473,0.385659191,0.753241632,0.066056383,0.076296804,0.137718065,0.135116893,0.109932433
Acremonium_persicinum_MAG|g1269.t1,NRPS-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038458228,0,0,0,0,0,0.234600293,0.139079586,0.287891721,0.265586478,0,0.201581298,0,0,0,0,0,0,0,0.397776421,0.776725476,0.138619254,1.143659879,0.621496401,0.065332479,0.092531603,0.234274487,0,0.064070895,0,0.056732784,0
Acremonium_persicinum_MAG|g936.t1,NRPS-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079290641,0,0,0,0,0,0,0,0,0,0,0,0.091681882,0.057267414,0.649416066,0.684685868,0,0,0,0,0,0,0,0
Acremonium_persicinum_MAG|g3308.t1,NRPS-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239544156,3.124230742,1.175834496,0.650839993,0,0.288161067,0,0,0,0,0,0,1.47817752,1.11693721,3.738870989,0.28308091,5.617771744,4.336389203,0.2001278,0.094481573,0,0,0,0,0.057928346,0.125682859
Acremonium_persicinum3_2854|g2117.t1,NRPS-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinumA3_2857|g2672.t1,NRPS-like,0.058232716,0,0,0,0,0,0,0,0,0,0.04894326,0,0,0,0,0,0.037366905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinumA3_2857|g14465.t1,NRPS-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190589383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211524755,0.18117552,0.149181267,0,0,0,0,0.018390058,0,0,0
Acremonium_persicinumA3_2857|g16706.t1,NRPS-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402771305,0,0,0,0,0,0,0,0,0,0,0,0,0.331099924,0,0,0,0.11842852,0,0,0,0,0
Acremonium_persicinum_MAG|g22.t1,NRPS-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121111013,0.083565722,0,0,0,0,0,0,0,0,0,0,0,0.483125278,0,0.456286907,0.270600671,0.170675286,0,0.040801416,0,0,0,0.049403116,0.053593149
Acremonium_persicinum_MAG|g6732.t1,NRPS-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.397804066,0.368297374,0.635306299,0.527475697,0.016199846,0.160142544,0,0,0,0,0,0.016155997,0.425953592,0.724180738,1.983391803,0.321193569,3.989246204,1.577213347,0.216259095,0.336920948,0.15509587,0,0.042416617,0.051042194,0.375585949,0.324078225
