,Week,Compartment,Treat,Treatment,Plottime,Sampletime,Compartmentyear,Group,Groupyear,Groupyear1
TP6Z20,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z2,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z19,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z12,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z11,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z1,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP7Z20,7,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-7,Rhizosphere2016-Control-7,Rhizosphere_Y16P1-Control-7
TP7Z2,7,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-7,Rhizosphere2016-Control-7,Rhizosphere_Y16P1-Control-7
TP7Z19,7,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-7,Rhizosphere2016-Control-7,Rhizosphere_Y16P1-Control-7
TP7Z12,7,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-7,Rhizosphere2016-Control-7,Rhizosphere_Y16P1-Control-7
TP7Z11,7,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-7,Rhizosphere2016-Control-7,Rhizosphere_Y16P1-Control-7
TP7Z1,7,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-7,Rhizosphere2016-Control-7,Rhizosphere_Y16P1-Control-7
TP8Z20,8,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-8,Rhizosphere2016-Control-8,Rhizosphere_Y16P1-Control-8
TP8Z2,8,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-8,Rhizosphere2016-Control-8,Rhizosphere_Y16P1-Control-8
TP8Z19,8,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-8,Rhizosphere2016-Control-8,Rhizosphere_Y16P1-Control-8
TP8Z12,8,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-8,Rhizosphere2016-Control-8,Rhizosphere_Y16P1-Control-8
TP8Z11,8,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-8,Rhizosphere2016-Control-8,Rhizosphere_Y16P1-Control-8
TP8Z1,8,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-8,Rhizosphere2016-Control-8,Rhizosphere_Y16P1-Control-8
TP9Z20,9,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-9,Rhizosphere2016-Control-9,Rhizosphere_Y16P1-Control-9
TP9Z2,9,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-9,Rhizosphere2016-Control-9,Rhizosphere_Y16P1-Control-9
TP9Z19,9,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-9,Rhizosphere2016-Control-9,Rhizosphere_Y16P1-Control-9
TP9Z12,9,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-9,Rhizosphere2016-Control-9,Rhizosphere_Y16P1-Control-9
TP9Z11,9,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-9,Rhizosphere2016-Control-9,Rhizosphere_Y16P1-Control-9
TP9Z1,9,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-9,Rhizosphere2016-Control-9,Rhizosphere_Y16P1-Control-9
TP10Z20,10,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-10,Rhizosphere2016-Control-10,Rhizosphere_Y16P1-Control-10
TP10Z2,10,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-10,Rhizosphere2016-Control-10,Rhizosphere_Y16P1-Control-10
TP10Z19,10,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-10,Rhizosphere2016-Control-10,Rhizosphere_Y16P1-Control-10
TP10Z12,10,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-10,Rhizosphere2016-Control-10,Rhizosphere_Y16P1-Control-10
TP10Z11,10,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-10,Rhizosphere2016-Control-10,Rhizosphere_Y16P1-Control-10
TP10Z1,10,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-10,Rhizosphere2016-Control-10,Rhizosphere_Y16P1-Control-10
TP11Z20,11,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-11,Rhizosphere2016-Control-11,Rhizosphere_Y16P1-Control-11
TP11Z2,11,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-11,Rhizosphere2016-Control-11,Rhizosphere_Y16P1-Control-11
TP11Z19,11,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-11,Rhizosphere2016-Control-11,Rhizosphere_Y16P1-Control-11
TP11Z12,11,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-11,Rhizosphere2016-Control-11,Rhizosphere_Y16P1-Control-11
TP11Z11,11,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-11,Rhizosphere2016-Control-11,Rhizosphere_Y16P1-Control-11
TP11Z1,11,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-11,Rhizosphere2016-Control-11,Rhizosphere_Y16P1-Control-11
TP12Z20,12,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-12,Rhizosphere2016-Control-12,Rhizosphere_Y16P1-Control-12
TP12Z2,12,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-12,Rhizosphere2016-Control-12,Rhizosphere_Y16P1-Control-12
TP12Z19,12,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-12,Rhizosphere2016-Control-12,Rhizosphere_Y16P1-Control-12
TP12Z12,12,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-12,Rhizosphere2016-Control-12,Rhizosphere_Y16P1-Control-12
TP12Z11,12,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-12,Rhizosphere2016-Control-12,Rhizosphere_Y16P1-Control-12
TP12Z1,12,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-12,Rhizosphere2016-Control-12,Rhizosphere_Y16P1-Control-12
TP13Z20,13,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-13,Rhizosphere2016-Control-13,Rhizosphere_Y16P1-Control-13
