,Week,Compartment,Treat,Treatment,Plottime,Sampletime,Compartmentyear,Group,Groupyear,Groupyear1
TP4R20,4,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-4,Root2016-Control-4,Root_Y16P1-Control-4
TP4R2,4,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-4,Root2016-Control-4,Root_Y16P1-Control-4
TP4R19,4,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-4,Root2016-Control-4,Root_Y16P1-Control-4
TP4R12,4,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-4,Root2016-Control-4,Root_Y16P1-Control-4
TP4R11,4,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-4,Root2016-Control-4,Root_Y16P1-Control-4
TP4R1,4,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-4,Root2016-Control-4,Root_Y16P1-Control-4
TP5R20,5,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-5,Root2016-Control-5,Root_Y16P1-Control-5
TP5R2,5,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-5,Root2016-Control-5,Root_Y16P1-Control-5
TP5R19,5,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-5,Root2016-Control-5,Root_Y16P1-Control-5
TP5R12,5,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-5,Root2016-Control-5,Root_Y16P1-Control-5
TP5R11,5,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-5,Root2016-Control-5,Root_Y16P1-Control-5
TP5R1,5,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-5,Root2016-Control-5,Root_Y16P1-Control-5
TP6R20,6,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-6,Root2016-Control-6,Root_Y16P1-Control-6
TP6R2,6,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-6,Root2016-Control-6,Root_Y16P1-Control-6
TP6R19,6,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-6,Root2016-Control-6,Root_Y16P1-Control-6
TP6R12,6,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-6,Root2016-Control-6,Root_Y16P1-Control-6
TP6R11,6,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-6,Root2016-Control-6,Root_Y16P1-Control-6
TP6R1,6,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-6,Root2016-Control-6,Root_Y16P1-Control-6
TP7R2,7,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-7,Root2016-Control-7,Root_Y16P1-Control-7
TP7R19,7,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-7,Root2016-Control-7,Root_Y16P1-Control-7
TP7R12,7,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-7,Root2016-Control-7,Root_Y16P1-Control-7
TP7R11,7,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-7,Root2016-Control-7,Root_Y16P1-Control-7
TP7R1,7,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-7,Root2016-Control-7,Root_Y16P1-Control-7
TP7L20,7,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-7,Root2016-Control-7,Root_Y16P1-Control-7
TP8R20,8,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-8,Root2016-Control-8,Root_Y16P1-Control-8
TP8R2,8,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-8,Root2016-Control-8,Root_Y16P1-Control-8
TP8R19,8,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-8,Root2016-Control-8,Root_Y16P1-Control-8
TP8R12,8,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-8,Root2016-Control-8,Root_Y16P1-Control-8
TP8R11,8,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-8,Root2016-Control-8,Root_Y16P1-Control-8
TP8R1,8,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-8,Root2016-Control-8,Root_Y16P1-Control-8
TP9R20,9,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-9,Root2016-Control-9,Root_Y16P1-Control-9
TP9R2,9,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-9,Root2016-Control-9,Root_Y16P1-Control-9
TP9R19,9,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-9,Root2016-Control-9,Root_Y16P1-Control-9
TP9R12,9,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-9,Root2016-Control-9,Root_Y16P1-Control-9
TP9R11,9,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-9,Root2016-Control-9,Root_Y16P1-Control-9
TP9R1,9,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-9,Root2016-Control-9,Root_Y16P1-Control-9
TP10R20,10,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-10,Root2016-Control-10,Root_Y16P1-Control-10
TP10R2,10,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-10,Root2016-Control-10,Root_Y16P1-Control-10
TP10R19,10,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-10,Root2016-Control-10,Root_Y16P1-Control-10
TP10R12,10,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-10,Root2016-Control-10,Root_Y16P1-Control-10
TP10R11,10,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-10,Root2016-Control-10,Root_Y16P1-Control-10
TP10R1,10,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-10,Root2016-Control-10,Root_Y16P1-Control-10
TP11R2,11,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-11,Root2016-Control-11,Root_Y16P1-Control-11
TP11R1,11,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-11,Root2016-Control-11,Root_Y16P1-Control-11
TP11R20,11,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-11,Root2016-Control-11,Root_Y16P1-Control-11
TP11R19,11,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-11,Root2016-Control-11,Root_Y16P1-Control-11
TP11R12,11,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-11,Root2016-Control-11,Root_Y16P1-Control-11
TP11R11,11,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-11,Root2016-Control-11,Root_Y16P1-Control-11
TP11P2,11,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-11,Root2016-Control-11,Root_Y16P1-Control-11
TP11P19,11,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-11,Root2016-Control-11,Root_Y16P1-Control-11
TP11P11,11,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-11,Root2016-Control-11,Root_Y16P1-Control-11
TP12R20,12,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-12,Root2016-Control-12,Root_Y16P1-Control-12
TP12R2,12,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-12,Root2016-Control-12,Root_Y16P1-Control-12
TP12R19,12,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-12,Root2016-Control-12,Root_Y16P1-Control-12
TP12R12,12,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-12,Root2016-Control-12,Root_Y16P1-Control-12
TP12R11,12,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-12,Root2016-Control-12,Root_Y16P1-Control-12
TP12R1,12,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-12,Root2016-Control-12,Root_Y16P1-Control-12
TP13R20,13,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-13,Root2016-Control-13,Root_Y16P1-Control-13
TP13R2,13,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-13,Root2016-Control-13,Root_Y16P1-Control-13
TP13R19,13,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-13,Root2016-Control-13,Root_Y16P1-Control-13
TP13R12,13,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-13,Root2016-Control-13,Root_Y16P1-Control-13
TP13R11,13,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-13,Root2016-Control-13,Root_Y16P1-Control-13
TP13R1,13,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-13,Root2016-Control-13,Root_Y16P1-Control-13
TP14R20,14,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-14,Root2016-Pre_flowering_drought-14,Root_Y16P1-Pre_flowering_drought-14
TP14R19,14,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-14,Root2016-Pre_flowering_drought-14,Root_Y16P1-Pre_flowering_drought-14
TP14R2,14,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-14,Root2016-Control-14,Root_Y16P1-Control-14
TP14R12,14,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-14,Root2016-Control-14,Root_Y16P1-Control-14
TP14R11,14,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-14,Root2016-Control-14,Root_Y16P1-Control-14
TP14R1,14,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-14,Root2016-Control-14,Root_Y16P1-Control-14
TP15R1,15,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-15,Root2016-Control-15,Root_Y16P1-Control-15
TP15R20,15,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-15,Root2016-Control-15,Root_Y16P1-Control-15
TP15R2,15,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-15,Root2016-Control-15,Root_Y16P1-Control-15
TP15R19,15,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-15,Root2016-Control-15,Root_Y16P1-Control-15
TP15R12,15,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-15,Root2016-Control-15,Root_Y16P1-Control-15
TP15R11,15,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-15,Root2016-Control-15,Root_Y16P1-Control-15
TP16R20,16,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-16,Root2016-Control-16,Root_Y16P1-Control-16
TP16R2,16,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-16,Root2016-Control-16,Root_Y16P1-Control-16
TP16R19,16,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-16,Root2016-Control-16,Root_Y16P1-Control-16
TP16R12,16,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-16,Root2016-Control-16,Root_Y16P1-Control-16
TP16R11,16,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-16,Root2016-Control-16,Root_Y16P1-Control-16
TP16R1,16,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-16,Root2016-Control-16,Root_Y16P1-Control-16
TP17R20,17,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-17,Root2016-Control-17,Root_Y16P1-Control-17
TP17R2,17,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-17,Root2016-Control-17,Root_Y16P1-Control-17
TP17R19,17,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-17,Root2016-Control-17,Root_Y16P1-Control-17
TP17R12,17,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-17,Root2016-Control-17,Root_Y16P1-Control-17
TP17R11,17,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-17,Root2016-Control-17,Root_Y16P1-Control-17
TP17R1,17,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-17,Root2016-Control-17,Root_Y16P1-Control-17
TP3R6,3,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-3,Root2016-Pre_flowering_drought-3,Root_Y16P1-Pre_flowering_drought-3
TP3R5,3,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-3,Root2016-Pre_flowering_drought-3,Root_Y16P1-Pre_flowering_drought-3
TP3R18,3,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-3,Root2016-Pre_flowering_drought-3,Root_Y16P1-Pre_flowering_drought-3
TP3R17,3,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-3,Root2016-Pre_flowering_drought-3,Root_Y16P1-Pre_flowering_drought-3
TP3R14,3,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-3,Root2016-Pre_flowering_drought-3,Root_Y16P1-Pre_flowering_drought-3
TP3R13,3,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-3,Root2016-Pre_flowering_drought-3,Root_Y16P1-Pre_flowering_drought-3
TP4R6,4,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-4,Root2016-Pre_flowering_drought-4,Root_Y16P1-Pre_flowering_drought-4
TP4R5,4,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-4,Root2016-Pre_flowering_drought-4,Root_Y16P1-Pre_flowering_drought-4
TP4R18,4,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-4,Root2016-Pre_flowering_drought-4,Root_Y16P1-Pre_flowering_drought-4
TP4R17,4,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-4,Root2016-Pre_flowering_drought-4,Root_Y16P1-Pre_flowering_drought-4
TP4R14,4,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-4,Root2016-Pre_flowering_drought-4,Root_Y16P1-Pre_flowering_drought-4
TP4R13,4,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-4,Root2016-Pre_flowering_drought-4,Root_Y16P1-Pre_flowering_drought-4
TP5R6,5,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-5,Root2016-Pre_flowering_drought-5,Root_Y16P1-Pre_flowering_drought-5
TP5R5,5,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-5,Root2016-Pre_flowering_drought-5,Root_Y16P1-Pre_flowering_drought-5
TP5R18,5,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-5,Root2016-Pre_flowering_drought-5,Root_Y16P1-Pre_flowering_drought-5
TP5R17,5,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-5,Root2016-Pre_flowering_drought-5,Root_Y16P1-Pre_flowering_drought-5
TP5R14,5,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-5,Root2016-Pre_flowering_drought-5,Root_Y16P1-Pre_flowering_drought-5
TP5R13,5,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-5,Root2016-Pre_flowering_drought-5,Root_Y16P1-Pre_flowering_drought-5
TP6R6,6,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-6,Root2016-Pre_flowering_drought-6,Root_Y16P1-Pre_flowering_drought-6
TP6R5,6,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-6,Root2016-Pre_flowering_drought-6,Root_Y16P1-Pre_flowering_drought-6
TP6R18,6,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-6,Root2016-Pre_flowering_drought-6,Root_Y16P1-Pre_flowering_drought-6
TP6R17,6,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-6,Root2016-Pre_flowering_drought-6,Root_Y16P1-Pre_flowering_drought-6
TP6R14,6,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-6,Root2016-Pre_flowering_drought-6,Root_Y16P1-Pre_flowering_drought-6
TP6R13,6,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-6,Root2016-Pre_flowering_drought-6,Root_Y16P1-Pre_flowering_drought-6
TP7R6,7,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-7,Root2016-Pre_flowering_drought-7,Root_Y16P1-Pre_flowering_drought-7
TP7R5,7,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-7,Root2016-Pre_flowering_drought-7,Root_Y16P1-Pre_flowering_drought-7
TP7R18,7,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-7,Root2016-Pre_flowering_drought-7,Root_Y16P1-Pre_flowering_drought-7
TP7R17,7,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-7,Root2016-Pre_flowering_drought-7,Root_Y16P1-Pre_flowering_drought-7
TP7R13,7,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-7,Root2016-Pre_flowering_drought-7,Root_Y16P1-Pre_flowering_drought-7
TP7L14,7,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-7,Root2016-Pre_flowering_drought-7,Root_Y16P1-Pre_flowering_drought-7
TP8R6,8,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-8,Root2016-Pre_flowering_drought-8,Root_Y16P1-Pre_flowering_drought-8
TP8R5,8,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-8,Root2016-Pre_flowering_drought-8,Root_Y16P1-Pre_flowering_drought-8
TP8R18,8,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-8,Root2016-Pre_flowering_drought-8,Root_Y16P1-Pre_flowering_drought-8
TP8R17,8,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-8,Root2016-Pre_flowering_drought-8,Root_Y16P1-Pre_flowering_drought-8
TP8R13,8,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-8,Root2016-Pre_flowering_drought-8,Root_Y16P1-Pre_flowering_drought-8
TP9R6,9,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-9,Root2016-Pre_flowering_drought-9,Root_Y16P1-Pre_flowering_drought-9
TP9R5,9,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-9,Root2016-Pre_flowering_drought-9,Root_Y16P1-Pre_flowering_drought-9
TP9R18,9,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-9,Root2016-Pre_flowering_drought-9,Root_Y16P1-Pre_flowering_drought-9
TP9R17,9,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-9,Root2016-Pre_flowering_drought-9,Root_Y16P1-Pre_flowering_drought-9
TP9R14,9,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-9,Root2016-Pre_flowering_drought-9,Root_Y16P1-Pre_flowering_drought-9
TP9R13,9,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-9,Root2016-Pre_flowering_drought-9,Root_Y16P1-Pre_flowering_drought-9
TP10R6,10,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-10,Root2016-Pre_flowering_drought-10,Root_Y16P1-Pre_flowering_drought-10
TP10R5,10,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-10,Root2016-Pre_flowering_drought-10,Root_Y16P1-Pre_flowering_drought-10
TP10R18,10,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-10,Root2016-Pre_flowering_drought-10,Root_Y16P1-Pre_flowering_drought-10
TP10R17,10,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-10,Root2016-Pre_flowering_drought-10,Root_Y16P1-Pre_flowering_drought-10
TP10R14,10,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-10,Root2016-Pre_flowering_drought-10,Root_Y16P1-Pre_flowering_drought-10
TP10R13,10,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-10,Root2016-Pre_flowering_drought-10,Root_Y16P1-Pre_flowering_drought-10
TP11R5,11,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-11,Root2016-Pre_flowering_drought-11,Root_Y16P1-Pre_flowering_drought-11
TP11R6,11,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-11,Root2016-Pre_flowering_drought-11,Root_Y16P1-Pre_flowering_drought-11
TP11R18,11,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-11,Root2016-Pre_flowering_drought-11,Root_Y16P1-Pre_flowering_drought-11
TP11R17,11,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-11,Root2016-Pre_flowering_drought-11,Root_Y16P1-Pre_flowering_drought-11
TP11R14,11,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-11,Root2016-Pre_flowering_drought-11,Root_Y16P1-Pre_flowering_drought-11
TP11R13,11,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-11,Root2016-Pre_flowering_drought-11,Root_Y16P1-Pre_flowering_drought-11
TP11P6,11,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-11,Root2016-Pre_flowering_drought-11,Root_Y16P1-Pre_flowering_drought-11
TP11P17,11,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-11,Root2016-Pre_flowering_drought-11,Root_Y16P1-Pre_flowering_drought-11
TP11P14,11,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-11,Root2016-Pre_flowering_drought-11,Root_Y16P1-Pre_flowering_drought-11
TP12R6,12,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-12,Root2016-Pre_flowering_drought-12,Root_Y16P1-Pre_flowering_drought-12
TP12R5,12,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-12,Root2016-Pre_flowering_drought-12,Root_Y16P1-Pre_flowering_drought-12
TP12R18,12,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-12,Root2016-Pre_flowering_drought-12,Root_Y16P1-Pre_flowering_drought-12
TP12R17,12,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-12,Root2016-Pre_flowering_drought-12,Root_Y16P1-Pre_flowering_drought-12
TP12R14,12,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-12,Root2016-Pre_flowering_drought-12,Root_Y16P1-Pre_flowering_drought-12
TP12R13,12,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-12,Root2016-Pre_flowering_drought-12,Root_Y16P1-Pre_flowering_drought-12
TP13R6,13,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-13,Root2016-Pre_flowering_drought-13,Root_Y16P1-Pre_flowering_drought-13
TP13R5,13,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-13,Root2016-Pre_flowering_drought-13,Root_Y16P1-Pre_flowering_drought-13
TP13R18,13,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-13,Root2016-Pre_flowering_drought-13,Root_Y16P1-Pre_flowering_drought-13
TP13R17,13,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-13,Root2016-Pre_flowering_drought-13,Root_Y16P1-Pre_flowering_drought-13
TP13R14,13,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-13,Root2016-Pre_flowering_drought-13,Root_Y16P1-Pre_flowering_drought-13
TP13R13,13,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-13,Root2016-Pre_flowering_drought-13,Root_Y16P1-Pre_flowering_drought-13
TP14R18,14,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-14,Root2016-Control-14,Root_Y16P1-Control-14
TP14R17,14,Root,Control,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Control-14,Root2016-Control-14,Root_Y16P1-Control-14
TP14R6,14,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-14,Root2016-Pre_flowering_drought-14,Root_Y16P1-Pre_flowering_drought-14
TP14R5,14,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-14,Root2016-Pre_flowering_drought-14,Root_Y16P1-Pre_flowering_drought-14
TP14R14,14,Root,Pre_flowering_drought,Root_Y16P1,Y16plot,Y16sample,Root2016,Root-Pre_flowering_drought-14,Root2016-Pre_flowering_drought-14,Root_Y16P1-Pre_flowering_drought-14
