,Barcode,libraryName,Block,Week,Replicate,Genotype,Condition,Sample.type,Day,Genotype.Sample.type,CompleteTreatment,CorTreatment,Row,isFloweringWeek,Date.Harvested,Collected.By,Collection.Time,No.plants.pooled,Notes,FloweringJulianDate,FloweringDate,FloweringWeek,FloweringDay,FloweringJulianDate.1,LbsGrainHarvestPerPlot,TonsOfGrain.ac,PctGrainMoisture,TonsOfGrain.acAt13PctMoisture,X1000SeedWt_g,ApproximateEndOfSeasonStandCount_aveOfGrainRows,TotalFreshForageWtPerPlot_kg,TotalFreshForageWtPerPlot_lbs,TonsOfForage.ac,PctMoistureForage,TonsOfForage.acAt65PctMoisture,ApproximateEndOfSeasonStandCount_aveOfForageRows,DryBiomass,FreshBiomass,AveHeight,BarcodeJGI,isCorrectedBarcode,SampleId,rawReads,filteredReads,sampleName,conditionNumber,sequencerType,runType,fileUsed,processed_as,totalFragments,mappedFragments,assignedFragments,unassignedAmbiguous,unassignedNoFeatures,unassignedSecondaryHits,ratioStrandedness,MappedRatio,AssignedRatio,Plate1,Location,Plate,Mislabeled,Unreplicated,badSamples,questionableSamples,CompleteSampleTreatment,Week2D
0803169R11,T0803169R11,BOCWN,Block 11,9,3,BT642,Control,Roots,Day63,BT642:Roots,BT642:09:Control:Roots,BT642_09_Control_11,Row9,TRUE,2008/3/16,Mala/Jessie/Amy,10:59 AM,10,,210,2016/7/28,9,62,210,22.06,1.9218672,27.45,1.602660521,28.51,120,101.2,222.7,19.4029308,64.2,19.83686216,122.5,NA,NA,104,0803169R11,FALSE,131890,17350198,17138884,0803169R11,77,HiSeq-2500 1TB,1x101,11198.5.195877.CATACCA-GTGGTAT.filter-RNA.fastq.gz,BT642,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-Dec-13_RA_1,H2,H,FALSE,FALSE,FALSE,FALSE,BT642:09:Control,9
0810162R19,T0810162R19,BOCTH,Block 19,10,2,BT642,Control,Roots,Day70,BT642:Roots,BT642:10:Control:Roots,BT642_10_Control_19,Row2,FALSE,2008/10/16,Lifeng,12:20 PM,10,,210,2016/7/28,9,62,210,21.27,1.8530424,33.64,1.413424065,30.03,133,90.3,198.6,17.297676,63.1,18.24588748,144,540,1826,91.6,0810160R19,TRUE,131920,25977858,25926522,0810160R19,78,HiSeq-2500 1TB,1x101,11198.4.195869.GTGAGCT-AAGCTCA.filter-RNA.fastq.gz,BT642,25926522,24816431,23871734,88190,856507,0,0.9797,0.957183189,0.920745714,16-Dec-13_RA_1,G4,G,FALSE,FALSE,FALSE,FALSE,BT642:10:Control,10
0810162R11,T0810162R11,BOCXC,Block 11,10,3,BT642,Control,Roots,Day70,BT642:Roots,BT642:10:Control:Roots,BT642_10_Control_11,Row2,FALSE,2008/10/16,John Vogel,11:03 AM,10,,210,2016/7/28,9,62,210,22.06,1.9218672,27.45,1.602660521,28.51,120,101.2,222.7,19.4029308,64.2,19.83686216,122.5,656,2178,98.4,0810160R11,TRUE,131896,27356290,27105513,0810160R11,78,HiSeq-2500 1TB,1x101,11198.6.195886.TTGAGGC-TGCCTCA.filter-RNA.fastq.gz,BT642,56664933,53253110,51140610,224877,1887623,0,0.9802,0.939789517,0.902508964,16-Dec-13_RA_1,D4,D,FALSE,FALSE,FALSE,FALSE,BT642:10:Control,10
0810162R02,T0810162R02,BOPBP,Block 02,10,1,BT642,Control,Roots,Day70,BT642:Roots,BT642:10:Control:Roots,BT642_10_Control_2,Row2,FALSE,2008/10/16,Lifeng,10:08 AM,10,,210,2016/7/28,9,62,210,17.5,1.5246,28.3,1.25648069,27.6,134.5,88.5,194.8,16.9696692,70.2,14.45727662,143.5,418,1326,80.2,0810160R02,TRUE,131963,20465309,20194339,0810160R02,78,HiSeq-2500 1TB,1x101,11238.3.197174.TTCGTAC-GGTACGA.filter-RNA.fastq.gz,BT642,20194339,19207256,18400142,67217,739897,0,0.9795,0.951120807,0.911153467,16-Dec-20_RA_1,B4,B,FALSE,FALSE,FALSE,FALSE,BT642:10:Control,10
0817163R19,T0817163R19,BOCUB,Block 19,11,2,BT642,Control,Roots,Day77,BT642:Roots,BT642:11:Control:Roots,BT642_11_Control_19,Row3,FALSE,8/17/16,Jacob/Lily,1:01 PM,10,,210,2016/7/28,9,62,210,21.27,1.8530424,33.64,1.413424065,30.03,133,90.3,198.6,17.297676,63.1,18.24588748,144,NA,NA,95.4,0817163R19,FALSE,131926,26165210,26137474,0817163R19,79,HiSeq-2500 1TB,1x101,11198.8.195902.GCTGGAT-AATCCAG.filter-RNA.fastq.gz,BT642,26137474,24372275,23336317,80227,955731,0,0.9778,0.93246482,0.89282985,16-Dec-13_RA_1,C6,C,FALSE,FALSE,FALSE,FALSE,BT642:11:Control,11
0817163R11,T0817163R11,BOCXZ,Block 11,11,3,BT642,Control,Roots,Day77,BT642:Roots,BT642:11:Control:Roots,BT642_11_Control_11,Row3,FALSE,8/17/16,Jacob/Lily,11:49 AM,10,,210,2016/7/28,9,62,210,22.06,1.9218672,27.45,1.602660521,28.51,120,101.2,222.7,19.4029308,64.2,19.83686216,122.5,NA,NA,101.6,0817163R11,FALSE,131902,25298440,25252049,0817163R11,79,HiSeq-2500 1TB,1x101,11199.7.195825.GACATTC-GGAATGT.filter-RNA.fastq.gz,BT642,25252049,23191273,22245253,79467,866553,0,0.9797,0.918391731,0.880928633,16-Dec-13_RA_1,H5,H,FALSE,FALSE,FALSE,FALSE,BT642:11:Control,11
0817163R02,T0817163R02,BOPCH,Block 02,11,1,BT642,Control,Roots,Day77,BT642:Roots,BT642:11:Control:Roots,BT642_11_Control_2,Row3,FALSE,8/17/16,Jacob/Lily,11:01 AM,10,Prop roots,210,2016/7/28,9,62,210,17.5,1.5246,28.3,1.25648069,27.6,134.5,88.5,194.8,16.9696692,70.2,14.45727662,143.5,NA,NA,91,0817163R02,FALSE,131969,54273151,54192655,0817163R02,79,HiSeq-2500 1TB,1x101,11228.8.196807.AGTAGTC-GGACTAC.filter-RNA.fastq.gz,BT642,54192655,51255698,49022086,193411,2040201,0,0.9796,0.945805257,0.904589118,16-Dec-20_RA_1,F5,F,FALSE,FALSE,FALSE,FALSE,BT642:11:Control,11
0824164R11,T0824164R11,BOPTS,Block 11,12,3,BT642,Control,Roots,Day84,BT642:Roots,BT642:12:Control:Roots,BT642_12_Control_11,Row4,FALSE,8/24/16,Amy/Jeff,11:20 AM,10,,210,2016/7/28,9,62,210,22.06,1.9218672,27.45,1.602660521,28.51,120,101.2,222.7,19.4029308,64.2,19.83686216,122.5,984,2482,106.2,0824164R11,FALSE,131978,22556051,22475097,0824164R11,80,HiSeq-2500 1TB,1x101,11237.2.197237.GCCATAA-GTTATGG.filter-RNA.fastq.gz,BT642,22475097,20480293,19656367,69583,754343,0,0.9799,0.911243809,0.874584301,16-Dec-20_RA_2,G1,G,FALSE,FALSE,FALSE,FALSE,BT642:12:Control,12
0824164R02,T0824164R02,BZNPH,Block 02,12,1,BT642,Control,Roots,Day84,BT642:Roots,BT642:12:Control:Roots,BT642_12_Control_2,Row4,FALSE,8/24/16,Lifeng,10:26 AM,10,,210,2016/7/28,9,62,210,17.5,1.5246,28.3,1.25648069,27.6,134.5,88.5,194.8,16.9696692,70.2,14.45727662,143.5,586,1628,97.6,0824164R02,FALSE,155888,28285077,28225567,0824164R02,80,HiSeq-2500 1TB,1x101,11887.7.224842.TGACTGA-GTCAGTC.filter-RNA.fastq.gz,BT642,28225567,25556033,24542178,88149,925706,0,0.9816,0.905421422,0.869501683,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,BT642:12:Control,12
0824164R19,T0824164R19,BZNPP,Block 19,12,2,BT642,Control,Roots,Day84,BT642:Roots,BT642:12:Control:Roots,BT642_12_Control_19,Row4,FALSE,8/24/16,Lifeng,12:40 PM,10,,210,2016/7/28,9,62,210,21.27,1.8530424,33.64,1.413424065,30.03,133,90.3,198.6,17.297676,63.1,18.24588748,144,510,1484,99,0824164R19,FALSE,155891,30800706,30419788,0824164R19,80,HiSeq-2500 1TB,1x101,11887.6.224832.TACGCCT-AAGGCGT.filter-RNA.fastq.gz,BT642,30419788,27640974,26538265,98442,1004267,0,0.9816,0.908651106,0.872401379,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,BT642:12:Control,12
0831165R19,T0831165R19,BOCOB,Block 19,13,2,BT642,Control,Roots,Day91,BT642:Roots,BT642:13:Control:Roots,BT642_13_Control_19,Row5,NA,8/31/16,Kristin,12:38 PM,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0831165R19,FALSE,131879,19765020,19712466,0831165R19,81,HiSeq-2500 1TB,1x101,11193.8.195707.GACATTC-GGAATGT.filter-RNA.fastq.gz,BT642,19712466,17968452,17253093,64793,650566,0,0.9812,0.911527355,0.87523768,16-Dec-12_RA_1,H5,H,FALSE,FALSE,FALSE,FALSE,BT642:13:Control,13
0831165R02,T0831165R02,BOPHZ,Block 02,13,1,BT642,Control,Roots,Day91,BT642:Roots,BT642:13:Control:Roots,BT642_13_Control_2,Row5,NA,8/31/16,Jeff/Joy,10:14 AM,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0831165R01,TRUE,131760,14538194,14355050,0831165R01,81,HiSeq-2500 1TB,1x101,11238.3.197174.GTGAATC-GGATTCA.filter-RNA.fastq.gz,BT642,14355050,13216563,12654509,48817,513237,0,0.9804,0.920690837,0.88153709,16-Dec-20_RA_1,B5,B,FALSE,FALSE,FALSE,FALSE,BT642:13:Control,13
0831165R11,T0831165R11,BOPUN,Block 11,13,3,BT642,Control,Roots,Day91,BT642:Roots,BT642:13:Control:Roots,BT642_13_Control_11,Row5,NA,8/31/16,Jeff,11:18 AM,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0831165R11,FALSE,131984,29966223,29878994,0831165R11,81,HiSeq-2500 1TB,1x101,11237.3.197246.ATGGTCC-TGGACCA.filter-RNA.fastq.gz,BT642,29878994,27340921,26231675,105366,1003880,0,0.9804,0.915054938,0.877930328,16-Dec-20_RA_2,D3,D,FALSE,FALSE,FALSE,FALSE,BT642:13:Control,13
0907166R11,T0907166R11,BOPWC,Block 11,14,3,BT642,Control,Roots,Day98,BT642:Roots,BT642:14:Control:Roots,BT642_14_Control_11,Row6,FALSE,2009/7/16,Mala/Siwen/Ling,11:10 AM,10,,210,2016/7/28,9,62,210,22.06,1.9218672,27.45,1.602660521,28.51,120,101.2,222.7,19.4029308,64.2,19.83686216,122.5,852,2414,104.4,0907166R11,FALSE,131990,20722410,20503875,0907166R11,82,HiSeq-2500 1TB,1x101,11238.6.197201.GTGAATC-GGATTCA.filter-RNA.fastq.gz,BT642,20503875,18937735,18255092,75167,607476,0,0.9814,0.923617365,0.890324,16-Dec-20_RA_2,H4,H,FALSE,TRUE,FALSE,FALSE,BT642:14:Control,14
0914167R19,T0914167R19,BOPSZ,Block 19,15,2,BT642,Control,Roots,Day105,BT642:Roots,BT642:15:Control:Roots,BT642_15_Control_19,Row7,FALSE,9/14/16,Mark/Ryan,12:32 PM,10,,210,2016/7/28,9,62,210,21.27,1.8530424,33.64,1.413424065,30.03,133,90.3,198.6,17.297676,63.1,18.24588748,144,NA,NA,103.6,0914167R19,FALSE,132019,18501789,18463598,0914167R19,83,HiSeq-2500 1TB,1x101,11237.4.197254.CGACCAT-AATGGTC.filter-RNA.fastq.gz,BT642,18463598,16968897,16277014,64189,627694,0,0.9784,0.91904606,0.881573245,16-Dec-20_RA_2,E6,E,FALSE,FALSE,FALSE,FALSE,BT642:15:Control,15
0914167R11,T0914167R11,BOPXC,Block 11,15,3,BT642,Control,Roots,Day105,BT642:Roots,BT642:15:Control:Roots,BT642_15_Control_11,Row7,FALSE,9/14/16,Mark/Ryan,11:18 AM,10,,210,2016/7/28,9,62,210,22.06,1.9218672,27.45,1.602660521,28.51,120,101.2,222.7,19.4029308,64.2,19.83686216,122.5,NA,NA,108.2,0914167R11,FALSE,131997,18485747,17899857,0914167R11,83,HiSeq-2500 1TB,1x101,11237.8.197290.TAGCGTC-AGACGCT.filter-RNA.fastq.gz,BT642,17899857,14691158,13949907,55301,685950,0,0.9749,0.820741641,0.779330639,16-Dec-20_RA_2,G6,G,FALSE,FALSE,FALSE,FALSE,BT642:15:Control,15
0928169R11,T0928169R11,BOPPA,Block 11,17,3,BT642,Control,Roots,Day119,BT642:Roots,BT642:17:Control:Roots,BT642_17_Control_11,Row9,FALSE,9/28/16,Julie P,10:57 AM,10,,210,2016/7/28,9,62,210,22.06,1.9218672,27.45,1.602660521,28.51,120,101.2,222.7,19.4029308,64.2,19.83686216,122.5,NA,NA,106.6,0928169R11,FALSE,132005,24739459,24444782,0928169R11,85,HiSeq-2500 1TB,1x101,11237.7.197281.ACAGCAA-GTTGCTG.filter-RNA.fastq.gz,BT642,24444782,22310044,21363646,89346,857052,0,0.98,0.912671015,0.873955268,16-Dec-20_RA_2,H2,H,FALSE,FALSE,FALSE,FALSE,BT642:17:Control,17
0928169R19,T0928169R19,BOPSB,Block 19,17,2,BT642,Control,Roots,Day119,BT642:Roots,BT642:17:Control:Roots,BT642_17_Control_19,Row9,FALSE,9/28/16,Cheng/Peggy,12:10 PM,10,,210,2016/7/28,9,62,210,21.27,1.8530424,33.64,1.413424065,30.03,133,90.3,198.6,17.297676,63.1,18.24588748,144,NA,NA,104,0928169R19,FALSE,132013,18860646,18681726,0928169R19,85,HiSeq-2500 1TB,1x101,11238.8.197219.CAATCGA-GTCGATT.filter-RNA.fastq.gz,BT642,18681726,17369515,16684441,66722,618352,0,0.9807,0.929759649,0.89308884,16-Dec-20_RA_2,H4,H,FALSE,FALSE,FALSE,FALSE,BT642:17:Control,17
0928169R02,T0928169R02,BZNPU,Block 02,17,1,BT642,Control,Roots,Day119,BT642:Roots,BT642:17:Control:Roots,BT642_17_Control_2,Row9,FALSE,9/28/16,Julie P,10:20 AM,10,,210,2016/7/28,9,62,210,17.5,1.5246,28.3,1.25648069,27.6,134.5,88.5,194.8,16.9696692,70.2,14.45727662,143.5,NA,NA,97.4,0928169R02redo,TRUE,155995,26028946,25980095,0928169R02redo,85,HiSeq-2500 1TB,1x101,11887.6.224832.TCTCTTC-GGAAGAG.filter-RNA.fastq.gz,BT642,25980095,23702305,22715554,94344,892407,0,0.9813,0.912325571,0.874344532,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,BT642:17:Control,17
