,Barcode,libraryName,Block,Week,Replicate,Genotype,Condition,Sample.type,Day,Genotype.Sample.type,CompleteTreatment,CorTreatment,Row,isFloweringWeek,Date.Harvested,Collected.By,Collection.Time,No.plants.pooled,Notes,FloweringJulianDate,FloweringDate,FloweringWeek,FloweringDay,FloweringJulianDate.1,LbsGrainHarvestPerPlot,TonsOfGrain.ac,PctGrainMoisture,TonsOfGrain.acAt13PctMoisture,X1000SeedWt_g,ApproximateEndOfSeasonStandCount_aveOfGrainRows,TotalFreshForageWtPerPlot_kg,TotalFreshForageWtPerPlot_lbs,TonsOfForage.ac,PctMoistureForage,TonsOfForage.acAt65PctMoisture,ApproximateEndOfSeasonStandCount_aveOfForageRows,DryBiomass,FreshBiomass,AveHeight,BarcodeJGI,isCorrectedBarcode,SampleId,rawReads,filteredReads,sampleName,conditionNumber,sequencerType,runType,fileUsed,processed_as,totalFragments,mappedFragments,assignedFragments,unassignedAmbiguous,unassignedNoFeatures,unassignedSecondaryHits,ratioStrandedness,MappedRatio,AssignedRatio,Plate1,Location,Plate,Mislabeled,Unreplicated,badSamples,questionableSamples,CompleteSampleTreatment,Week2D
0622162R05,T0622162R05,BOCAY,Block 05,3,3,RT430,Preflowering,Roots,Day21,RT430:Roots,RT430:03:Preflowering:Roots,RT430_03_Preflowering_5, Row2,FALSE,6/22/16,Raney,11:15 AM,15,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,NA,NA,24.5,0622162R05,FALSE,131656,18826919,18611093,0622162R05,42,HiSeq-2500 1TB,1x101,11193.5.195680.CTGACAC-TGTGTCA.filter-RNA.fastq.gz,RT430,18611093,17825127,17191387,60653,573087,0,0.9812,0.95776895,0.923717215,16-Dec-12_RA_1,G1,G,FALSE,FALSE,FALSE,FALSE,RT430:03:Preflowering,3
0622162R13,T0622162R13,BOCGZ,Block 13,3,2,RT430,Preflowering,Roots,Day21,RT430:Roots,RT430:03:Preflowering:Roots,RT430_03_Preflowering_13, Row2,FALSE,6/22/16,XXX,12:35 PM,15,Does anybody can fill collected person?,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,NA,NA,23.1,0622162R13,FALSE,131679,19563719,19502206,0622162R13,42,HiSeq-2500 1TB,1x101,11193.2.195651.GCCATAA-GTTATGG.filter-RNA.fastq.gz,RT430,19502206,18806171,18045494,70363,690314,0,0.9804,0.964309935,0.925305271,16-Dec-12_RA_1,G1,G,FALSE,FALSE,FALSE,FALSE,RT430:03:Preflowering,3
0622162R18,T0622162R18,BOPGW,Block 18,3,1,RT430,Preflowering,Roots,Day21,RT430:Roots,RT430:03:Preflowering:Roots,RT430_03_Preflowering_18, Row2,FALSE,6/22/16,XXX,11:30 AM,15,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,NA,NA,21.3,0622162R18,FALSE,131750,21999737,21797064,0622162R18,42,HiSeq-2500 1TB,1x101,11228.3.196763.CACTGAC-TGTCAGT.filter-RNA.fastq.gz,RT430,21797064,21032988,20175220,77352,780416,0,0.9795,0.964945921,0.925593465,16-Dec-20_RA_1,F2,F,FALSE,FALSE,FALSE,FALSE,RT430:03:Preflowering,3
0629164R05,T0629164R05,BOCBO,Block 05,4,3,RT430,Preflowering,Roots,Day28,RT430:Roots,RT430:04:Preflowering:Roots,RT430_04_Preflowering_5,Row4,FALSE,6/29/16,Mala,10:32 AM,15,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,17.2,93.49,30.6,0629164R05,FALSE,131660,11550196,11407794,0629164R05,43,HiSeq-2500 1TB,1x101,11198.1.195842.ACAGCAA-GTTGCTG.filter-RNA.fastq.gz,RT430,32601084,31365883,30249874,131698,984311,0,0.9823,0.962111659,0.927879392,16-Dec-12_RA_1,H2,H,FALSE,FALSE,FALSE,FALSE,RT430:04:Preflowering,4
0629164R13,T0629164R13,BOCHP,Block 13,4,2,RT430,Preflowering,Roots,Day28,RT430:Roots,RT430:04:Preflowering:Roots,RT430_04_Preflowering_13,Row4,FALSE,6/29/16,Mala,11:23 AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,16.5,91.54,30.3,0629164R13,FALSE,131683,25309295,25021280,0629164R13,43,HiSeq-2500 1TB,1x101,11250.4.197787.CATACCA-GTGGTAT.filter-RNA.fastq.gz,RT430,39550615,38166251,36571107,170380,1424764,0,0.9804,0.964997662,0.92466595,16-Dec-12_RA_1,H2,H,FALSE,FALSE,FALSE,FALSE,RT430:04:Preflowering,4
0629164R18,T0629164R18,BOPHH,Block 18,4,1,RT430,Preflowering,Roots,Day28,RT430:Roots,RT430:04:Preflowering:Roots,RT430_04_Preflowering_18,Row4,FALSE,6/29/16,Dan/Heidi/Hannah,11:50 AM,15,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,13,69.15,28.4,0629164R18,FALSE,131754,21324741,21288999,0629164R18,43,HiSeq-2500 1TB,1x101,11228.3.196763.AAGAGCC-TGGCTCT.filter-RNA.fastq.gz,RT430,21288999,20537555,19728959,77607,730989,0,0.9805,0.964702709,0.926720838,16-Dec-20_RA_1,F3,F,FALSE,FALSE,FALSE,FALSE,RT430:04:Preflowering,4
0706165R13,T0706165R13,BZNNT,Block 13,5,2,RT430,Preflowering,Roots,Day35,RT430:Roots,RT430:05:Preflowering:Roots,RT430_05_Preflowering_13,Row5,FALSE,2007/6/16,Jess,10:58AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,NA,NA,37.8,0706165R13,FALSE,155863,28694849,28640048,0706165R13,44,HiSeq-2500 1TB,1x101,11887.7.224842.CCAGTGT-AACACTG.filter-RNA.fastq.gz,RT430,28640048,27460603,26305163,117287,1038153,0,0.9817,0.95881833,0.918474822,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,RT430:05:Preflowering,5
0706165R18,T0706165R18,BZNNU,Block 18,5,1,RT430,Preflowering,Roots,Day35,RT430:Roots,RT430:05:Preflowering:Roots,RT430_05_Preflowering_18,Row5,FALSE,2007/6/16,Ashwin,11:41AM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,NA,NA,43,0706165R18,FALSE,155864,31495320,31250170,0706165R18,44,HiSeq-2500 1TB,1x101,11887.7.224842.TGTACAC-GGTGTAC.filter-RNA.fastq.gz,RT430,31250170,29962808,28741344,130065,1091399,0,0.9823,0.95880464,0.919718005,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,RT430:05:Preflowering,5
0706165R05,T0706165R05,BOCBZ,Block 05,5,3,RT430,Preflowering,Roots,Day35,RT430:Roots,RT430:05:Preflowering:Roots,RT430_05_Preflowering_5,Row5,FALSE,2007/6/16,Jess,10:20AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,NA,NA,43.2,0706165R05,FALSE,131664,18570206,18492114,0706165R05,44,HiSeq-2500 1TB,1x101,11193.3.195661.AGTCTCA-GTGAGAC.filter-RNA.fastq.gz,RT430,18492114,17781833,17043540,74710,663583,0,0.982,0.961590059,0.921665311,16-Dec-12_RA_1,H3,H,FALSE,FALSE,FALSE,FALSE,RT430:05:Preflowering,5
0713166R13,T0713166R13,BOCNA,Block 13,6,2,RT430,Preflowering,Roots,Day42,RT430:Roots,RT430:06:Preflowering:Roots,RT430_06_Preflowering_13,Row6,FALSE,7/13/16,Julie P/Mala/Jessie,11:11 AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,80,372.4,56.4,0713166R13,FALSE,131687,14849102,14828861,0713166R13,45,HiSeq-2500 1TB,1x101,11198.1.195842.TATTCGC-GGCGAAT.filter-RNA.fastq.gz,RT430,38500854,36967489,35387509,167538,1412442,0,0.9802,0.960173221,0.91913569,16-Dec-12_RA_1,H3,H,FALSE,FALSE,FALSE,FALSE,RT430:06:Preflowering,6
0713166R05,T0713166R05,BOCCP,Block 05,6,3,RT430,Preflowering,Roots,Day42,RT430:Roots,RT430:06:Preflowering:Roots,RT430_06_Preflowering_5,Row6,FALSE,7/13/16,Julie P/Mala,10:26 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,76.7,351.6,52.2,0713166R05,FALSE,131668,16623496,16381714,0713166R05,45,HiSeq-2500 1TB,1x101,11198.3.195860.CAATCGA-GTCGATT.filter-RNA.fastq.gz,RT430,42924353,41134290,39353272,186901,1594117,0,0.9806,0.958297263,0.916805246,16-Dec-12_RA_1,H4,H,FALSE,FALSE,FALSE,FALSE,RT430:06:Preflowering,6
0713166R18,T0713166R18,BOPHX,Block 18,6,1,RT430,Preflowering,Roots,Day42,RT430:Roots,RT430:06:Preflowering:Roots,RT430_06_Preflowering_18,Row6,FALSE,7/13/16,Julie P/Mala/Jessie,11:40 AM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,49.3,232.7,45.6,0713166R18,FALSE,131758,18759811,18572655,0713166R18,45,HiSeq-2500 1TB,1x101,11238.4.197183.CACCTTA-GTAAGGT.filter-RNA.fastq.gz,RT430,18572655,17756289,16953021,75098,728170,0,0.98,0.956044734,0.912794697,16-Dec-20_RA_1,F4,F,FALSE,FALSE,FALSE,FALSE,RT430:06:Preflowering,6
0720167R05,T0720167R05,BOCGA,Block 05,7,3,RT430,Preflowering,Roots,Day49,RT430:Roots,RT430:07:Preflowering:Roots,RT430_07_Preflowering_5,Row7,FALSE,7/20/16,Julie P/Mala/Jessie,10:24 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,NA,NA,67.8,0720167R05,FALSE,131672,20878090,20828377,0720167R05,46,HiSeq-2500 1TB,1x101,11193.8.195707.TCTCTTC-GGAAGAG.filter-RNA.fastq.gz,RT430,20828377,19979182,19125719,83138,770325,0,0.9813,0.95922894,0.918252968,16-Dec-12_RA_1,H5,H,FALSE,TRUE,FALSE,FALSE,RT430:07:Preflowering,7
0727168R13,T0727168R13,BOCPP,Block 13,8,2,RT430,Preflowering,Roots,Day56,RT430:Roots,RT430:08:Preflowering:Roots,RT430_08_Preflowering_13,Row8,FALSE,7/27/16,Tuesday/Jessie/Mala,11:09 AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,144,626,60.6,0727168R13,FALSE,131723,28883139,28607844,0727168R13,47,HiSeq-2500 1TB,1x101,11198.4.195869.ATAGCGG-ACCGCTA.filter-RNA.fastq.gz,RT430,28607844,27411531,26213001,111598,1086932,0,0.9798,0.958182343,0.91628719,16-Dec-13_RA_1,C1,C,FALSE,FALSE,FALSE,FALSE,RT430:08:Preflowering,8
0727168R05,T0727168R05,BOCUS,Block 05,8,3,RT430,Preflowering,Roots,Day56,RT430:Roots,RT430:08:Preflowering:Roots,RT430_08_Preflowering_5,Row8,FALSE,7/27/16,Tuesday/Jessie/Mala/Julie P,10:37 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,274,1216,63,0727168R05,FALSE,131700,32460448,32421562,0727168R05,47,HiSeq-2500 1TB,1x101,11250.7.197813.GGATACC-TGGTATC.filter-RNA.fastq.gz,RT430,56031422,53790945,51455598,251840,2083507,0,0.9805,0.960013919,0.91833468,16-Dec-13_RA_1,C1,C,FALSE,FALSE,FALSE,FALSE,RT430:08:Preflowering,8
0727168R18,T0727168R18,BOPAH,Block 18,8,1,RT430,Preflowering,Roots,Day56,RT430:Roots,RT430:08:Preflowering:Roots,RT430_08_Preflowering_18,Row8,FALSE,7/27/16,Tuesday/Jessie/Mala,11:51 AM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,192,852,63.4,0727168R17,TRUE,131955,23208484,22970296,0727168R17,47,HiSeq-2500 1TB,1x101,11228.5.196781.CTGACAC-TGTGTCA.filter-RNA.fastq.gz,RT430,22970296,21826101,20849900,92914,883287,0,0.9803,0.95018806,0.907689653,16-Dec-20_RA_1,B2,B,FALSE,FALSE,FALSE,FALSE,RT430:08:Preflowering,8
0803169R05,T0803169R05,BOCWB,Block 05,9,3,RT430,Preflowering,Roots,Day63,RT430:Roots,RT430:09:Preflowering:Roots,RT430_09_Preflowering_5,Row9,FALSE,2008/3/16,Mala/Jessie/Amy,10:40 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,NA,NA,57.4,0803169R05,FALSE,131704,24798300,24607974,0803169R05,48,HiSeq-2500 1TB,1x101,11199.8.195834.TAGTGAC-GGTCACT.filter-RNA.fastq.gz,RT430,24607974,23021698,22069499,77772,874427,0,0.9792,0.935538131,0.896843397,16-Dec-13_RA_1,D2,D,FALSE,FALSE,FALSE,FALSE,RT430:09:Preflowering,9
0803169R13,T0803169R13,BOCSG,Block 13,9,2,RT430,Preflowering,Roots,Day63,RT430:Roots,RT430:09:Preflowering:Roots,RT430_09_Preflowering_13,Row9,FALSE,2008/3/16,Mala/Jessie/Amy,11:15 AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,NA,NA,60.4,0803169R13,FALSE,131729,24604108,24547459,0803169R13,48,HiSeq-2500 1TB,1x101,11199.7.195825.GTTCGGT-AACCGAA.filter-RNA.fastq.gz,RT430,24547459,23297892,22327382,77894,892616,0,0.9794,0.949095872,0.909559804,16-Dec-13_RA_1,G2,G,FALSE,FALSE,FALSE,FALSE,RT430:09:Preflowering,9
0803169R18,T0803169R18,BOPBG,Block 18,9,1,RT430,Preflowering,Roots,Day63,RT430:Roots,RT430:09:Preflowering:Roots,RT430_09_Preflowering_18,Row9,FALSE,2008/3/16,Mala/Jessie/Amy,12:05 PM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,NA,NA,63.2,0803169R18,FALSE,131777,18703820,18658365,0803169R18,48,HiSeq-2500 1TB,1x101,11238.5.197192.CGCTTAA-GTTAAGC.filter-RNA.fastq.gz,RT430,18658365,17869949,17136846,63156,669947,0,0.9798,0.957744636,0.918453787,16-Dec-20_RA_1,F3,F,FALSE,FALSE,FALSE,FALSE,RT430:09:Preflowering,9
0810162R13,T0810162R13,BOCTA,Block 13,10,2,RT430,Preflowering,Roots,Day70,RT430:Roots,RT430:10:Preflowering:Roots,RT430_10_Preflowering_13,Row2,FALSE,2008/10/16,John Vogel,11:21 AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,178,830,64.8,0810160R13,TRUE,131735,27662602,27605020,0810160R13,49,HiSeq-2500 1TB,1x101,11198.4.195869.ACGGTCT-AAGACCG.filter-RNA.fastq.gz,RT430,27605020,26284046,25171304,96667,1016075,0,0.9797,0.952147327,0.911837919,16-Dec-13_RA_1,C4,C,FALSE,FALSE,FALSE,FALSE,RT430:10:Preflowering,10
0810162R05,T0810162R05,BOCWY,Block 05,10,3,RT430,Preflowering,Roots,Day70,RT430:Roots,RT430:10:Preflowering:Roots,RT430_10_Preflowering_5,Row2,FALSE,2008/10/16,John Vogel,10:45 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,488,2222,77,0810160R05,TRUE,131710,24957478,24909064,0810160R05,49,HiSeq-2500 1TB,1x101,11199.7.195825.TATTCGC-GGCGAAT.filter-RNA.fastq.gz,RT430,24909064,23614140,22579137,85581,949422,0,0.9791,0.948013944,0.906462684,16-Dec-13_RA_1,H3,H,FALSE,FALSE,FALSE,FALSE,RT430:10:Preflowering,10
0810162R18,T0810162R18,BOPCA,Block 18,10,1,RT430,Preflowering,Roots,Day70,RT430:Roots,RT430:10:Preflowering:Roots,RT430_10_Preflowering_18,Row2,FALSE,2008/10/16,John Vogel,12:13 PM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,316,1420,73.6,0810160R18,TRUE,131783,20641795,20583413,0810160R18,49,HiSeq-2500 1TB,1x101,11238.5.197192.TGACTGA-GTCAGTC.filter-RNA.fastq.gz,RT430,20583413,19329451,18530056,70001,729394,0,0.9797,0.939079005,0.900242151,16-Dec-20_RA_1,B5,B,FALSE,FALSE,FALSE,FALSE,RT430:10:Preflowering,10
0817163R13,T0817163R13,BOCTX,Block 13,11,2,RT430,Preflowering,Roots,Day77,RT430:Roots,RT430:11:Preflowering:Roots,RT430_11_Preflowering_13,Row3,TRUE,8/17/16,Jacob/Lily,12:11 PM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,NA,NA,85.6,0817163R13,FALSE,131741,27004542,26800393,0817163R13,50,HiSeq-2500 1TB,1x101,11198.8.195902.AGAGCCT-AAGGCTC.filter-RNA.fastq.gz,RT430,26800393,24666850,23796568,95802,774480,0,0.9807,0.920391354,0.887918621,16-Dec-13_RA_1,G5,G,FALSE,FALSE,FALSE,FALSE,RT430:11:Preflowering,11
0817163R05,T0817163R05,BOCXU,Block 05,11,3,RT430,Preflowering,Roots,Day77,RT430:Roots,RT430:11:Preflowering:Roots,RT430_11_Preflowering_5,Row3,TRUE,8/17/16,Jacob/Lily,11:31 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,NA,NA,86.4,0817163R05,FALSE,131716,27810779,27776551,0817163R05,50,HiSeq-2500 1TB,1x101,11198.6.195886.TCACAGC-TGCTGTG.filter-RNA.fastq.gz,RT430,57821580,52930749,50907864,223313,1799572,0,0.9802,0.915415127,0.880430178,16-Dec-13_RA_1,D5,D,FALSE,FALSE,FALSE,FALSE,RT430:11:Preflowering,11
0817163R18,T0817163R18,BOPCX,Block 18,11,1,RT430,Preflowering,Roots,Day77,RT430:Roots,RT430:11:Preflowering:Roots,RT430_11_Preflowering_18,Row3,TRUE,8/17/16,Jacob/Lily,12:51 PM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,NA,NA,80.8,0817163R18,FALSE,131789,18831499,18583144,0817163R18,50,HiSeq-2500 1TB,1x101,11238.4.197183.TCGGTTA-GTAACCG.filter-RNA.fastq.gz,RT430,18583144,16332898,15685797,59317,587784,0,0.9798,0.878909295,0.844087362,16-Dec-20_RA_1,F6,F,FALSE,FALSE,FALSE,FALSE,RT430:11:Preflowering,11
0824164R18,T0824164R18,BZNOG,Block 18,12,1,RT430,Preflowering,Roots,Day84,RT430:Roots,RT430:12:Preflowering:Roots,RT430_12_Preflowering_18,Row4,FALSE,8/24/16,Amy/Lifeng,12:31 PM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,416,1752,86.6,0824164R18,FALSE,155872,29031009,28966078,0824164R18,51,HiSeq-2500 1TB,1x101,11887.7.224842.TCATCAC-GGTGATG.filter-RNA.fastq.gz,RT430,28966078,26172842,25205927,94360,872555,0,0.9817,0.903568719,0.870187776,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,RT430:12:Preflowering,12
0824164R13,T0824164R13,BZNOC,Block 13,12,2,RT430,Preflowering,Roots,Day84,RT430:Roots,RT430:12:Preflowering:Roots,RT430_12_Preflowering_13,Row4,FALSE,8/24/16,Amy,11:40 AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,304,1460,88,0824164R13,FALSE,155871,49866678,49247678,0824164R13,51,HiSeq-2000 1TB,2x151,11944.1.229755.CGTAGGT-AACCTAC.filter-RNA.fastq.gz,RT430,24623839,22508231,21475617,193361,839253,0,0.98,0.914082934,0.872147393,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,RT430:12:Preflowering,12
0824164R05,T0824164R05,BOPTH,Block 05,12,3,RT430,Preflowering,Roots,Day84,RT430:Roots,RT430:12:Preflowering:Roots,RT430_12_Preflowering_5,Row4,FALSE,8/24/16,Amy/Jeff,11:00 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,466,1716,96.2,0824164R05,FALSE,131792,31774050,31695798,0824164R05,51,HiSeq-2500 1TB,1x101,11237.3.197246.GGATACC-TGGTATC.filter-RNA.fastq.gz,RT430,31695798,28576747,27473256,107007,996484,0,0.9805,0.90159418,0.866779123,16-Dec-20_RA_2,C1,C,FALSE,FALSE,FALSE,FALSE,RT430:12:Preflowering,12
0831165R13,T0831165R13,BOCNX,Block 13,13,2,RT430,Preflowering,Roots,Day91,RT430:Roots,RT430:13:Preflowering:Roots,RT430_13_Preflowering_13,Row5,NA,8/31/16,Jeff,11:32 AM,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0831165R13,FALSE,131693,22342458,22261345,0831165R13,52,HiSeq-2500 1TB,1x101,11193.3.195661.TCACAGC-TGCTGTG.filter-RNA.fastq.gz,RT430,22261345,20739605,19972470,74450,692685,0,0.98,0.931642046,0.897181639,16-Dec-12_RA_1,D5,D,FALSE,FALSE,FALSE,FALSE,RT430:13:Preflowering,13
0831165R05,T0831165R05,BOPUB,Block 05,13,3,RT430,Preflowering,Roots,Day91,RT430:Roots,RT430:13:Preflowering:Roots,RT430_13_Preflowering_5,Row5,NA,8/31/16,Jeff,10:52 AM,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0831165R05,FALSE,131798,21920242,21678018,0831165R05,52,HiSeq-2500 1TB,1x101,11238.8.197219.CATACCA-GTGGTAT.filter-RNA.fastq.gz,RT430,21678018,20244830,19502027,76533,666270,0,0.9806,0.933887498,0.899622235,16-Dec-20_RA_2,H2,H,FALSE,FALSE,FALSE,FALSE,RT430:13:Preflowering,13
0831165R18,T0831165R18,BOPNT,Block 18,13,1,RT430,Preflowering,Roots,Day91,RT430:Roots,RT430:13:Preflowering:Roots,RT430_13_Preflowering_18,Row5,NA,8/31/16,Jeff,12:30 PM,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0831165R18,FALSE,131764,16855190,16809106,0831165R18,52,HiSeq-2500 1TB,1x101,11238.4.197183.TGTGGTA-GTACCAC.filter-RNA.fastq.gz,RT430,16809106,15594128,14993333,56156,544639,0,0.9798,0.927719059,0.891976825,16-Dec-20_RA_1,B6,B,FALSE,FALSE,FALSE,FALSE,RT430:13:Preflowering,13
0907166R05,T0907166R05,BOPUY,Block 05,14,3,RT430,Preflowering,Roots,Day98,RT430:Roots,RT430:14:Preflowering:Roots,RT430_14_Preflowering_5,Row6,FALSE,2009/7/16,Mala/Siwen/Ling,10:54 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,465,1920,93.6,0907166R05,FALSE,131804,24963449,24663584,0907166R05,53,HiSeq-2500 1TB,1x101,11237.2.197237.TTGAGGC-TGCCTCA.filter-RNA.fastq.gz,RT430,24663584,23091434,22196427,94300,800707,0,0.98,0.936256223,0.89996762,16-Dec-20_RA_2,D4,D,FALSE,TRUE,FALSE,FALSE,RT430:14:Preflowering,14
0914167R05,T0914167R05,BOPXA,Block 05,15,3,RT430,Preflowering,Roots,Day105,RT430:Roots,RT430:15:Preflowering:Roots,RT430_15_Preflowering_5,Row7,FALSE,9/14/16,Mark/Ryan,10:59 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,NA,NA,95.2,0914167R05,FALSE,131812,24532178,24132533,0914167R05,54,HiSeq-2500 1TB,1x101,11237.8.197290.CAAGGTC-AGACCTT.filter-RNA.fastq.gz,RT430,24132533,22036587,21141939,85442,809206,0,0.9786,0.913148529,0.876076249,16-Dec-20_RA_2,E6,E,FALSE,FALSE,FALSE,FALSE,RT430:15:Preflowering,15
0914167R13,T0914167R13,BOPSS,Block 13,15,2,RT430,Preflowering,Roots,Day105,RT430:Roots,RT430:15:Preflowering:Roots,RT430_15_Preflowering_13,Row7,FALSE,9/14/16,Mark/Ryan,11:40 AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,NA,NA,98.4,0914167R13,FALSE,131832,7081847,5707682,0914167R13,54,HiSeq-2500 1TB,1x101,11237.4.197254.AGAGCCT-AAGGCTC.filter-RNA.fastq.gz,RT430,5707682,3888959,3671589,13616,203754,0,0.9721,0.681355233,0.643271472,16-Dec-20_RA_2,G5,G,FALSE,FALSE,FALSE,FALSE,RT430:15:Preflowering,15
0921168R05,T0921168R05,BTOPP,Block 05,16,3,RT430,Preflowering,Roots,Day112,RT430:Roots,RT430:16:Preflowering:Roots,RT430_16_Preflowering_5,Row8,FALSE,9/21/16,Julie P,10:50 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,562.3,1690,103.4,0921168R05,FALSE,134913,26256256,25189847,0921168R05,55,HiSeq-2500 1TB,1x101,11586.3.212626.ATAGCGG-ACCGCTA.filter-RNA.fastq.gz,RT430,25189847,21879992,20782966,85327,1011699,0,0.9723,0.868603608,0.825053284,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,RT430:16:Preflowering,16
0928169R18,T0928169R18,BOPPZ,Block 18,17,1,RT430,Preflowering,Roots,Day119,RT430:Roots,RT430:17:Preflowering:Roots,RT430_17_Preflowering_18,Row9,FALSE,9/28/16,Julie P,12:04 PM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,NA,NA,110.4,0928169R18,FALSE,131827,20586091,20297787,0928169R18,56,HiSeq-2500 1TB,1x101,11238.6.197201.ATTGAGC-GGCTCAA.filter-RNA.fastq.gz,RT430,20297787,18533109,17754149,77944,701016,0,0.9801,0.913060572,0.874683974,16-Dec-20_RA_2,F4,F,FALSE,FALSE,FALSE,FALSE,RT430:17:Preflowering,17
