,Metagenome_count,Metatrans_count,Pangenome,A. persicinum_MAG,A. persicinum3.15288,A. persicinum3.1556,A. persicinum3.1579,A. persicinum3.2854,A. persicinum3.3503,A. persicinum3.2857,A. persicinum3.2858,A. persicinum3.2859,A. persicinum3.2862
C14571,44,0,1,1,0,0,0,0,0,0,0,0,0
C14572,113,0,1,1,0,0,0,0,0,0,0,0,0
C14573,20,0,1,1,0,0,0,0,0,0,0,0,0
C14574,42,0,1,1,0,0,0,0,0,0,0,0,0
C14575,89,1,1,1,0,0,0,0,0,0,0,0,0
C14576,8.976,1,1,1,0,0,0,0,0,0,0,0,0
C14577,23,56,1,1,0,0,0,0,0,0,0,0,0
C14578,7,35,1,1,0,0,0,0,0,0,0,0,0
C14579,6,0,1,1,0,0,0,0,0,0,0,0,0
C14580,9,1,1,1,0,0,0,0,0,0,0,0,0
C14581,33,32,1,1,0,0,0,0,0,0,0,0,0
C14582,235,12,1,1,0,0,0,0,0,0,0,0,0
C14583,335,1.191,1,1,0,0,0,0,0,0,0,0,0
C14584,38,0,1,1,0,0,0,0,0,0,0,0,0
C14585,23,23,1,1,0,0,0,0,0,0,0,0,0
C14586,4,0,1,1,0,0,0,0,0,0,0,0,0
C14587,175,2,1,1,0,0,0,0,0,0,0,0,0
C14588,73,120,1,1,0,0,0,0,0,0,0,0,0
C14589,15,16,1,1,0,0,0,0,0,0,0,0,0
C14590,4,0,1,1,0,0,0,0,0,0,0,0,0
C14591,3,0,1,1,0,0,0,0,0,0,0,0,0
C14592,43,157,1,1,0,0,0,0,0,0,0,0,0
C14593,28,0,1,1,0,0,0,0,0,0,0,0,0
C14594,110,71,1,1,0,0,0,0,0,0,0,0,0
C14595,56,7,1,1,0,0,0,0,0,0,0,0,0
C14596,164,0,1,1,0,0,0,0,0,0,0,0,0
C14597,33,1,1,1,0,0,0,0,0,0,0,0,0
C14598,22,0,1,1,0,0,0,0,0,0,0,0,0
C14599,41,53,1,1,0,0,0,0,0,0,0,0,0
C14600,22.479,108.745,1,1,0,0,0,0,0,0,0,0,0
C14601,32,8,1,1,0,0,0,0,0,0,0,0,0
C14602,27,149,1,1,0,0,0,0,0,0,0,0,0
C14603,11,14,1,1,0,0,0,0,0,0,0,0,0
C14604,15,4,1,1,0,0,0,0,0,0,0,0,0
C14605,43,2,1,1,0,0,0,0,0,0,0,0,0
C14606,7.586,23.836,1,1,0,0,0,0,0,0,0,0,0
C14607,10,4,1,1,0,0,0,0,0,0,0,0,0
C14608,20,28,1,1,0,0,0,0,0,0,0,0,0
C14609,11.174,0,1,1,0,0,0,0,0,0,0,0,0
C14610,50.147,47.093,1,1,0,0,0,0,0,0,0,0,0
C14611,15,3,1,1,0,0,0,0,0,0,0,0,0
C14612,9.718,2,1,1,0,0,0,0,0,0,0,0,0
C14613,37,0,1,1,0,0,0,0,0,0,0,0,0
C14614,2,0,1,1,0,0,0,0,0,0,0,0,0
C14615,217,1,1,1,0,0,0,0,0,0,0,0,0
C14616,8.894,141.993,1,1,0,0,0,0,0,0,0,0,0
C14617,421.963,1401,1,1,0,0,0,0,0,0,0,0,0
C14618,28,1,1,1,0,0,0,0,0,0,0,0,0
C14619,49,0,1,1,0,0,0,0,0,0,0,0,0
C14620,2,0,1,1,0,0,0,0,0,0,0,0,0
C14621,138,0,1,1,0,0,0,0,0,0,0,0,0
C14622,8903.982,219,1,1,0,0,0,0,0,0,0,0,0
C14623,32,19,1,1,0,0,0,0,0,0,0,0,0
C14624,1002,13,1,1,0,0,0,0,0,0,0,0,0
C14625,1162,55,1,1,0,0,0,0,0,0,0,0,0
C14626,768,9,1,1,0,0,0,0,0,0,0,0,0
C14627,2785,37,1,1,0,0,0,0,0,0,0,0,0
C14628,2101,24,1,1,0,0,0,0,0,0,0,0,0
C14629,647,7,1,1,0,0,0,0,0,0,0,0,0
C14630,614,6,1,1,0,0,0,0,0,0,0,0,0
C14631,1774,15,1,1,0,0,0,0,0,0,0,0,0
C14632,507,14,1,1,0,0,0,0,0,0,0,0,0
C14633,901,10,1,1,0,0,0,0,0,0,0,0,0
C14634,1510,8,1,1,0,0,0,0,0,0,0,0,0
C14635,1024,15,1,1,0,0,0,0,0,0,0,0,0
C14636,1997,93,1,1,0,0,0,0,0,0,0,0,0
C14637,1457,9,1,1,0,0,0,0,0,0,0,0,0
C14638,1114,10,1,1,0,0,0,0,0,0,0,0,0
C14639,469,2,1,1,0,0,0,0,0,0,0,0,0
C14640,488,7,1,1,0,0,0,0,0,0,0,0,0
C14641,1078,31,1,1,0,0,0,0,0,0,0,0,0
C14642,1384,47,1,1,0,0,0,0,0,0,0,0,0
C14643,3418,76,1,1,0,0,0,0,0,0,0,0,0
C14644,471,10,1,1,0,0,0,0,0,0,0,0,0
C14645,965,11,1,1,0,0,0,0,0,0,0,0,0
C14646,513,6,1,1,0,0,0,0,0,0,0,0,0
C14647,2132,33,1,1,0,0,0,0,0,0,0,0,0
C14648,621,4,1,1,0,0,0,0,0,0,0,0,0
C14649,1639,322,1,1,0,0,0,0,0,0,0,0,0
C14650,1546,226,1,1,0,0,0,0,0,0,0,0,0
C14651,293,2,1,1,0,0,0,0,0,0,0,0,0
C14652,286,5,1,1,0,0,0,0,0,0,0,0,0
C14653,2204,10,1,1,0,0,0,0,0,0,0,0,0
C14654,898,4,1,1,0,0,0,0,0,0,0,0,0
C14655,3276,42,1,1,0,0,0,0,0,0,0,0,0
C14656,841,11,1,1,0,0,0,0,0,0,0,0,0
C14657,975,34,1,1,0,0,0,0,0,0,0,0,0
C14658,1544,27,1,1,0,0,0,0,0,0,0,0,0
C14659,96,1,1,1,0,0,0,0,0,0,0,0,0
C14660,180,0,1,1,0,0,0,0,0,0,0,0,0
C14661,2826,52,1,1,0,0,0,0,0,0,0,0,0
C14662,536,11,1,1,0,0,0,0,0,0,0,0,0
C14663,326,8,1,1,0,0,0,0,0,0,0,0,0
C14664,514,10,1,1,0,0,0,0,0,0,0,0,0
C14665,676,9,1,1,0,0,0,0,0,0,0,0,0
C14666,1410,7,1,1,0,0,0,0,0,0,0,0,0
C14667,587,2,1,1,0,0,0,0,0,0,0,0,0
C14668,870,6,1,1,0,0,0,0,0,0,0,0,0
C14669,5015,18,1,1,0,0,0,0,0,0,0,0,0
C14670,168,2,1,1,0,0,0,0,0,0,0,0,0
C14671,388,0,1,1,0,0,0,0,0,0,0,0,0
C14672,367,5,1,1,0,0,0,0,0,0,0,0,0
C14673,36,2,1,1,0,0,0,0,0,0,0,0,0
C14674,48,1,1,1,0,0,0,0,0,0,0,0,0
C14675,13,0,1,1,0,0,0,0,0,0,0,0,0
C14676,38,0,1,1,0,0,0,0,0,0,0,0,0
C14677,149,7,1,1,0,0,0,0,0,0,0,0,0
C14678,226,3,1,1,0,0,0,0,0,0,0,0,0
C14679,100,0,1,1,0,0,0,0,0,0,0,0,0
C14680,13.454,99.805,1,1,0,0,0,0,0,0,0,0,0
C14681,11.101,188.46,1,1,0,0,0,0,0,0,0,0,0
C14682,4,0,1,1,0,0,0,0,0,0,0,0,0
C14683,418,10,1,1,0,0,0,0,0,0,0,0,0
C14684,264,3,1,1,0,0,0,0,0,0,0,0,0
C14685,90.506,1,1,1,0,0,0,0,0,0,0,0,0
C14686,31,99,1,1,0,0,0,0,0,0,0,0,0
C14687,82,0,1,1,0,0,0,0,0,0,0,0,0
C45,78,9,1,0,1,1,1,1,1,1,1,1,1
C48,7,0,1,0,1,1,1,1,1,1,1,1,1
C53,148,267,1,0,1,1,1,1,1,1,1,1,1
C63,27,0,1,0,1,1,1,1,1,1,1,1,1
C75,148,13,1,0,1,1,1,1,1,1,1,1,1
C76,78,23,1,0,1,1,1,1,1,1,1,1,1
C81,62.389,4,1,0,1,1,1,1,1,1,1,1,1
C88,91,7,1,0,1,1,1,1,1,1,1,1,1
C94,117,99,1,0,1,1,1,1,1,1,1,1,1
C108,18,23,1,0,1,1,1,1,1,1,1,1,1
C116,57,38,1,0,1,1,1,1,1,1,1,1,1
C126,0,0,1,0,1,1,1,1,1,1,1,1,1
C150,70,64,1,0,1,1,1,1,1,1,1,1,1
C155,68.126,188.062,1,0,1,1,1,1,1,1,1,1,1
C158,81,686.111,1,0,1,1,1,1,1,1,1,1,1
C159,63,18,1,0,1,1,1,1,1,1,1,1,1
C175,40,19,1,0,1,1,1,1,1,1,1,1,1
C179,152.408,2203.585,1,0,1,1,1,1,1,1,1,1,1
C182,41,9,1,0,1,1,1,1,1,1,1,1,1
C209,49,125,1,0,1,1,1,1,1,1,1,1,1
C213,108,51,1,0,1,1,1,1,1,1,1,1,1
C214,32,1,1,0,1,1,1,1,1,1,1,1,1
C223,44,6,1,0,1,1,1,1,1,1,1,1,1
C254,38,1,1,0,1,1,1,1,1,1,1,1,1
C270,8,0,1,0,1,1,1,1,1,1,1,1,1
C290,53,7,1,0,1,1,1,1,1,1,1,1,1
C305,46,4,1,0,1,1,1,1,1,1,1,1,1
C307,84,99,1,0,1,1,1,1,1,1,1,1,1
C315,56,4,1,0,1,1,1,1,1,1,1,1,1
C319,132,107,1,0,1,1,1,1,1,1,1,1,1
C343,119,132,1,0,1,1,1,1,1,1,1,1,1
C372,65.218,14,1,0,1,1,1,1,1,1,1,1,1
C381,47,38,1,0,1,1,1,1,1,1,1,1,1
C382,143,145,1,0,1,1,1,1,1,1,1,1,1
C384,162.431,5318.162,1,0,1,1,1,1,1,1,1,1,1
C385,47,189,1,0,1,1,1,1,1,1,1,1,1
C412,164,159,1,0,1,1,1,1,1,1,1,1,1
C415,176,354,1,0,1,1,1,1,1,1,1,1,1
C422,33.141,47.182,1,0,1,1,1,1,1,1,1,1,1
C441,104,93,1,0,1,1,1,1,1,1,1,1,1
C450,204,48,1,0,1,1,1,1,1,1,1,1,1
C475,123,5,1,0,1,1,1,1,1,1,1,1,1
C478,46,17,1,0,1,1,1,1,1,1,1,1,1
C479,158,87,1,0,1,1,1,1,1,1,1,1,1
C483,278,11,1,0,1,1,1,1,1,1,1,1,1
C500,165,536.969,1,0,1,1,1,1,1,1,1,1,1
C518,176,315,1,0,1,1,1,1,1,1,1,1,1
C557,69,48.406,1,0,1,1,1,1,1,1,1,1,1
C569,45,17,1,0,1,1,1,1,1,1,1,1,1
C571,54,21,1,0,1,1,1,1,1,1,1,1,1
C594,100,349.789,1,0,1,1,1,1,1,1,1,1,1
C598,118,16,1,0,1,1,1,1,1,1,1,1,1
C615,163.37,13734.585,1,0,1,1,1,1,1,1,1,1,1
C617,188,105,1,0,1,1,1,1,1,1,1,1,1
C620,108,60,1,0,1,1,1,1,1,1,1,1,1
C647,111,68,1,0,1,1,1,1,1,1,1,1,1
C649,151,59,1,0,1,1,1,1,1,1,1,1,1
C651,83,135,1,0,1,1,1,1,1,1,1,1,1
C668,39,18,1,0,1,1,1,1,1,1,1,1,1
C675,36,1,1,0,1,1,1,1,1,1,1,1,1
C677,90,38,1,0,1,1,1,1,1,1,1,1,1
C684,112,78,1,0,1,1,1,1,1,1,1,1,1
C722,80,5,1,0,1,1,1,1,1,1,1,1,1
C755,57,171,1,0,1,1,1,1,1,1,1,1,1
C780,228.777,231.615,1,0,1,1,1,1,1,1,1,1,1
C868,69,0,1,0,1,1,1,1,1,1,1,1,1
C896,45,101.404,1,0,1,1,1,1,1,1,1,1,1
C906,123,8,1,0,1,1,1,1,1,1,1,1,1
C985,101,83,1,0,1,1,1,1,1,1,1,1,1
C1046,86,389,1,0,1,1,1,1,1,1,1,1,1
C1065,276.503,729.327,1,0,1,1,1,1,1,1,1,1,1
C1135,189,165,1,0,1,1,1,1,1,1,1,1,1
C1199,54,37,1,0,1,1,1,1,1,1,1,1,1
C1276,254,142,1,0,1,1,1,1,1,1,1,1,1
C1307,139.824,144.824,1,0,1,1,1,1,1,1,1,1,1
C1471,137,14,1,0,1,1,1,1,1,1,1,1,1
C1503,89,1938,1,0,1,1,1,1,1,1,1,1,1
C1505,38,41,1,0,1,1,1,1,1,1,1,1,1
C1599,134,416,1,0,1,1,1,1,1,1,1,1,1
C1610,89,30,1,0,1,1,1,1,1,1,1,1,1
C1631,2,3,1,0,1,1,1,1,1,1,1,1,1
C1638,103,7,1,0,1,1,1,1,1,1,1,1,1
C1659,34,14,1,0,1,1,1,1,1,1,1,1,1
C1666,29,37,1,0,1,1,1,1,1,1,1,1,1
C1755,65,7,1,0,1,1,1,1,1,1,1,1,1
C1760,7,2,1,0,1,1,1,1,1,1,1,1,1
C1827,38,128,1,0,1,1,1,1,1,1,1,1,1
C1829,115.158,186.395,1,0,1,1,1,1,1,1,1,1,1
C1887,71,55,1,0,1,1,1,1,1,1,1,1,1
C1899,61,19,1,0,1,1,1,1,1,1,1,1,1
C1931,71,58,1,0,1,1,1,1,1,1,1,1,1
C2006,123,2110.982,1,0,1,1,1,1,1,1,1,1,1
C2037,93,303,1,0,1,1,1,1,1,1,1,1,1
C2126,79,61,1,0,1,1,1,1,1,1,1,1,1
C2223,91,24,1,0,1,1,1,1,1,1,1,1,1
C2241,69,203,1,0,1,1,1,1,1,1,1,1,1
C2297,232,84,1,0,1,1,1,1,1,1,1,1,1
C2363,78,32.421,1,0,1,1,1,1,1,1,1,1,1
C2389,147,459,1,0,1,1,1,1,1,1,1,1,1
C2426,79,11,1,0,1,1,1,1,1,1,1,1,1
C2436,79,242.218,1,0,1,1,1,1,1,1,1,1,1
C2445,87,248,1,0,1,1,1,1,1,1,1,1,1
C2479,24,1035,1,0,1,1,1,1,1,1,1,1,1
C2623,59,40,1,0,1,1,1,1,1,1,1,1,1
C2676,47,44,1,0,1,1,1,1,1,1,1,1,1
C2698,99,356,1,0,1,1,1,1,1,1,1,1,1
C2716,136,284,1,0,1,1,1,1,1,1,1,1,1
C2728,175,345,1,0,1,1,1,1,1,1,1,1,1
C2805,26,10,1,0,1,1,1,1,1,1,1,1,1
C2808,5,12,1,0,1,1,1,1,1,1,1,1,1
C2936,252.611,1349,1,0,1,1,1,1,1,1,1,1,1
C3035,66,23,1,0,1,1,1,1,1,1,1,1,1
C3087,57,219,1,0,1,1,1,1,1,1,1,1,1
C3092,77,559,1,0,1,1,1,1,1,1,1,1,1
C3177,50,34,1,0,1,1,1,1,1,1,1,1,1
C3187,83,93,1,0,1,1,1,1,1,1,1,1,1
C3209,74,15,1,0,1,1,1,1,1,1,1,1,1
C3293,118,11,1,0,1,1,1,1,1,1,1,1,1
C3339,73,207,1,0,1,1,1,1,1,1,1,1,1
C3353,53.235,1191,1,0,1,1,1,1,1,1,1,1,1
C3426,88,21,1,0,1,1,1,1,1,1,1,1,1
C3584,111,130,1,0,1,1,1,1,1,1,1,1,1
C3679,71,130,1,0,1,1,1,1,1,1,1,1,1
C3709,99,1335,1,0,1,1,1,1,1,1,1,1,1
C3847,80,430,1,0,1,1,1,1,1,1,1,1,1
C3911,36,43,1,0,1,1,1,1,1,1,1,1,1
C3916,147,346,1,0,1,1,1,1,1,1,1,1,1
C3935,202,232.301,1,0,1,1,1,1,1,1,1,1,1
C3944,127.612,190.334,1,0,1,1,1,1,1,1,1,1,1
C3956,75,4,1,0,1,1,1,1,1,1,1,1,1
C4029,65,123,1,0,1,1,1,1,1,1,1,1,1
C4039,109,0,1,0,1,1,1,1,1,1,1,1,1
C4113,141,592,1,0,1,1,1,1,1,1,1,1,1
C4175,76,154,1,0,1,1,1,1,1,1,1,1,1
C4199,342,55,1,0,1,1,1,1,1,1,1,1,1
C4285,43,159,1,0,1,1,1,1,1,1,1,1,1
C4420,42,9,1,0,1,1,1,1,1,1,1,1,1
C4448,19,0,1,0,1,1,1,1,1,1,1,1,1
C4460,104,173,1,0,1,1,1,1,1,1,1,1,1
C4538,78,152,1,0,1,1,1,1,1,1,1,1,1
C4628,39,1,1,0,1,1,1,1,1,1,1,1,1
C4659,163,82,1,0,1,1,1,1,1,1,1,1,1
C4700,58,24,1,0,1,1,1,1,1,1,1,1,1
C4772,81,1,1,0,1,1,1,1,1,1,1,1,1
C4790,193,275,1,0,1,1,1,1,1,1,1,1,1
C4882,17,0,1,0,1,1,1,1,1,1,1,1,1
C5007,64,328,1,0,1,1,1,1,1,1,1,1,1
C5064,49,79,1,0,1,1,1,1,1,1,1,1,1
C5065,70.282,116,1,0,1,1,1,1,1,1,1,1,1
C5067,34,46,1,0,1,1,1,1,1,1,1,1,1
C5068,60,45,1,0,1,1,1,1,1,1,1,1,1
C5070,30,67,1,0,1,1,1,1,1,1,1,1,1
C5071,70,131,1,0,1,1,1,1,1,1,1,1,1
C5074,93,0,1,0,1,1,1,1,1,1,1,1,1
C5075,54,14,1,0,1,1,1,1,1,1,1,1,1
C5076,73,33,1,0,1,1,1,1,1,1,1,1,1
C5077,44,10,1,0,1,1,1,1,1,1,1,1,1
C5078,40.751,40,1,0,1,1,1,1,1,1,1,1,1
C5080,17,630,1,0,1,1,1,1,1,1,1,1,1
C5081,55,33,1,0,1,1,1,1,1,1,1,1,1
C5082,71,112,1,0,1,1,1,1,1,1,1,1,1
C5083,126,120,1,0,1,1,1,1,1,1,1,1,1
C5085,34,7,1,0,1,1,1,1,1,1,1,1,1
C5087,133,85,1,0,1,1,1,1,1,1,1,1,1
C5088,78,862.87,1,0,1,1,1,1,1,1,1,1,1
C5089,46,13,1,0,1,1,1,1,1,1,1,1,1
C5091,74,31,1,0,1,1,1,1,1,1,1,1,1
C5092,65,16,1,0,1,1,1,1,1,1,1,1,1
C5093,43.388,40,1,0,1,1,1,1,1,1,1,1,1
C5094,16,115,1,0,1,1,1,1,1,1,1,1,1
C5095,66.625,221,1,0,1,1,1,1,1,1,1,1,1
C5096,67.414,155.753,1,0,1,1,1,1,1,1,1,1,1
C5098,53,0,1,0,1,1,1,1,1,1,1,1,1
C5099,105,64,1,0,1,1,1,1,1,1,1,1,1
C5100,55,136,1,0,1,1,1,1,1,1,1,1,1
C5101,37,24,1,0,1,1,1,1,1,1,1,1,1
C5102,34,15,1,0,1,1,1,1,1,1,1,1,1
C5103,102,369,1,0,1,1,1,1,1,1,1,1,1
C5104,67,0,1,0,1,1,1,1,1,1,1,1,1
C5105,20,27,1,0,1,1,1,1,1,1,1,1,1
C5107,35,18,1,0,1,1,1,1,1,1,1,1,1
C5108,20,3,1,0,1,1,1,1,1,1,1,1,1
C5109,52,21,1,0,1,1,1,1,1,1,1,1,1
C5110,30,66,1,0,1,1,1,1,1,1,1,1,1
C5111,46,265,1,0,1,1,1,1,1,1,1,1,1
C5112,76,59,1,0,1,1,1,1,1,1,1,1,1
C5113,77,126,1,0,1,1,1,1,1,1,1,1,1
C5114,35,3,1,0,1,1,1,1,1,1,1,1,1
C5115,25,63,1,0,1,1,1,1,1,1,1,1,1
C5117,61,15,1,0,1,1,1,1,1,1,1,1,1
C5118,0,0,1,0,1,1,1,1,1,1,1,1,1
C5119,48,76.128,1,0,1,1,1,1,1,1,1,1,1
C5121,44,57,1,0,1,1,1,1,1,1,1,1,1
C5123,46,24,1,0,1,1,1,1,1,1,1,1,1
C5124,32,29,1,0,1,1,1,1,1,1,1,1,1
C5125,51,24,1,0,1,1,1,1,1,1,1,1,1
C5126,74,32,1,0,1,1,1,1,1,1,1,1,1
C5127,36,13,1,0,1,1,1,1,1,1,1,1,1
C5128,95,29,1,0,1,1,1,1,1,1,1,1,1
C5129,65,116,1,0,1,1,1,1,1,1,1,1,1
C5130,33,130,1,0,1,1,1,1,1,1,1,1,1
C5131,127,43,1,0,1,1,1,1,1,1,1,1,1
C5132,32,2,1,0,1,1,1,1,1,1,1,1,1
C5133,79,1479,1,0,1,1,1,1,1,1,1,1,1
C5136,44,17,1,0,1,1,1,1,1,1,1,1,1
C5137,19,4,1,0,1,1,1,1,1,1,1,1,1
C5138,17,134,1,0,1,1,1,1,1,1,1,1,1
C5139,20,27,1,0,1,1,1,1,1,1,1,1,1
C5141,13,1,1,0,1,1,1,1,1,1,1,1,1
C5142,44,81,1,0,1,1,1,1,1,1,1,1,1
C5143,64,5,1,0,1,1,1,1,1,1,1,1,1
C5144,85,9,1,0,1,1,1,1,1,1,1,1,1
C5145,58,3,1,0,1,1,1,1,1,1,1,1,1
C5146,102,81,1,0,1,1,1,1,1,1,1,1,1
C5147,63,286,1,0,1,1,1,1,1,1,1,1,1
C5149,55,4,1,0,1,1,1,1,1,1,1,1,1
C5150,103,57,1,0,1,1,1,1,1,1,1,1,1
C5151,79,135,1,0,1,1,1,1,1,1,1,1,1
C5152,97,203,1,0,1,1,1,1,1,1,1,1,1
C5156,76,105,1,0,1,1,1,1,1,1,1,1,1
C5157,36,33,1,0,1,1,1,1,1,1,1,1,1
C5158,38,6,1,0,1,1,1,1,1,1,1,1,1
C5160,61,5,1,0,1,1,1,1,1,1,1,1,1
C5161,29,25,1,0,1,1,1,1,1,1,1,1,1
C5162,24,2,1,0,1,1,1,1,1,1,1,1,1
C5163,14,0,1,0,1,1,1,1,1,1,1,1,1
C5164,22,7,1,0,1,1,1,1,1,1,1,1,1
C5165,40,32,1,0,1,1,1,1,1,1,1,1,1
C5167,29,0,1,0,1,1,1,1,1,1,1,1,1
C5168,94,3,1,0,1,1,1,1,1,1,1,1,1
C5170,230.935,295.982,1,0,1,1,1,1,1,1,1,1,1
C5171,98,301,1,0,1,1,1,1,1,1,1,1,1
C5173,93,97,1,0,1,1,1,1,1,1,1,1,1
C5174,38,15,1,0,1,1,1,1,1,1,1,1,1
C5175,7,1,1,0,1,1,1,1,1,1,1,1,1
C5176,48,5,1,0,1,1,1,1,1,1,1,1,1
C5177,42,49,1,0,1,1,1,1,1,1,1,1,1
C5178,118,86,1,0,1,1,1,1,1,1,1,1,1
C5179,74,113,1,0,1,1,1,1,1,1,1,1,1
C5181,96.433,94,1,0,1,1,1,1,1,1,1,1,1
C5182,80,40.331,1,0,1,1,1,1,1,1,1,1,1
C5183,46,329,1,0,1,1,1,1,1,1,1,1,1
C5184,34,108,1,0,1,1,1,1,1,1,1,1,1
C5185,45,5,1,0,1,1,1,1,1,1,1,1,1
C5186,43,8,1,0,1,1,1,1,1,1,1,1,1
C5187,95,3,1,0,1,1,1,1,1,1,1,1,1
C5188,43,0,1,0,1,1,1,1,1,1,1,1,1
C5189,71,87,1,0,1,1,1,1,1,1,1,1,1
C5190,36,35,1,0,1,1,1,1,1,1,1,1,1
C5191,75,134,1,0,1,1,1,1,1,1,1,1,1
C5192,10,83,1,0,1,1,1,1,1,1,1,1,1
C5193,23,28,1,0,1,1,1,1,1,1,1,1,1
C5194,69,9,1,0,1,1,1,1,1,1,1,1,1
C5195,32,181,1,0,1,1,1,1,1,1,1,1,1
C5197,30,1,1,0,1,1,1,1,1,1,1,1,1
C5198,42,1065,1,0,1,1,1,1,1,1,1,1,1
C5199,26.489,20.511,1,0,1,1,1,1,1,1,1,1,1
C5200,39.672,142,1,0,1,1,1,1,1,1,1,1,1
C5201,37,1,1,0,1,1,1,1,1,1,1,1,1
C5202,128.8,1994.282,1,0,1,1,1,1,1,1,1,1,1
C5203,70,29,1,0,1,1,1,1,1,1,1,1,1
C5204,21,17,1,0,1,1,1,1,1,1,1,1,1
C5206,58.537,67.897,1,0,1,1,1,1,1,1,1,1,1
C5207,63,120,1,0,1,1,1,1,1,1,1,1,1
C5208,22,12,1,0,1,1,1,1,1,1,1,1,1
C5209,36,65,1,0,1,1,1,1,1,1,1,1,1
C5210,65,21,1,0,1,1,1,1,1,1,1,1,1
C5211,45,36,1,0,1,1,1,1,1,1,1,1,1
C5212,33.71,45,1,0,1,1,1,1,1,1,1,1,1
C5213,49,38,1,0,1,1,1,1,1,1,1,1,1
C5214,48,49,1,0,1,1,1,1,1,1,1,1,1
C5215,68,117,1,0,1,1,1,1,1,1,1,1,1
C5216,98,59,1,0,1,1,1,1,1,1,1,1,1
C5217,60,130,1,0,1,1,1,1,1,1,1,1,1
C5218,5,0,1,0,1,1,1,1,1,1,1,1,1
C5219,27,52,1,0,1,1,1,1,1,1,1,1,1
C5220,19,3,1,0,1,1,1,1,1,1,1,1,1
C5222,70,5,1,0,1,1,1,1,1,1,1,1,1
C5223,27,0,1,0,1,1,1,1,1,1,1,1,1
C5224,27,30,1,0,1,1,1,1,1,1,1,1,1
C5225,68,5,1,0,1,1,1,1,1,1,1,1,1
C5226,62,31,1,0,1,1,1,1,1,1,1,1,1
C5227,29.414,0,1,0,1,1,1,1,1,1,1,1,1
C5228,71,28,1,0,1,1,1,1,1,1,1,1,1
C5229,30,0,1,0,1,1,1,1,1,1,1,1,1
C5230,30,48,1,0,1,1,1,1,1,1,1,1,1
C5232,19,0,1,0,1,1,1,1,1,1,1,1,1
C5233,3,0,1,0,1,1,1,1,1,1,1,1,1
C5234,58,2,1,0,1,1,1,1,1,1,1,1,1
C5235,35,6743,1,0,1,1,1,1,1,1,1,1,1
C5236,36,37,1,0,1,1,1,1,1,1,1,1,1
C5237,84,101,1,0,1,1,1,1,1,1,1,1,1
C5238,130,238.055,1,0,1,1,1,1,1,1,1,1,1
C5239,21,281,1,0,1,1,1,1,1,1,1,1,1
C5240,65,342,1,0,1,1,1,1,1,1,1,1,1
C5241,109,75,1,0,1,1,1,1,1,1,1,1,1
C5242,126,93,1,0,1,1,1,1,1,1,1,1,1
C5243,28,32,1,0,1,1,1,1,1,1,1,1,1
C5244,55.5,3.111,1,0,1,1,1,1,1,1,1,1,1
C5245,41,236,1,0,1,1,1,1,1,1,1,1,1
C5246,50.242,903.735,1,0,1,1,1,1,1,1,1,1,1
C5247,156.138,911.472,1,0,1,1,1,1,1,1,1,1,1
C5248,42,176,1,0,1,1,1,1,1,1,1,1,1
C5249,82,20,1,0,1,1,1,1,1,1,1,1,1
C5250,173,118,1,0,1,1,1,1,1,1,1,1,1
C5251,29,0,1,0,1,1,1,1,1,1,1,1,1
C5252,28,20,1,0,1,1,1,1,1,1,1,1,1
C5253,61,140,1,0,1,1,1,1,1,1,1,1,1
C5254,27,2,1,0,1,1,1,1,1,1,1,1,1
C5255,45,23,1,0,1,1,1,1,1,1,1,1,1
C5257,31,81,1,0,1,1,1,1,1,1,1,1,1
C5259,49,0,1,0,1,1,1,1,1,1,1,1,1
C5260,83,73,1,0,1,1,1,1,1,1,1,1,1
C5263,23,641,1,0,1,1,1,1,1,1,1,1,1
C5264,30,3,1,0,1,1,1,1,1,1,1,1,1
C5265,58,39,1,0,1,1,1,1,1,1,1,1,1
C5266,53,138,1,0,1,1,1,1,1,1,1,1,1
C5267,25,35,1,0,1,1,1,1,1,1,1,1,1
C5268,62,36,1,0,1,1,1,1,1,1,1,1,1
C5269,38,138,1,0,1,1,1,1,1,1,1,1,1
C5270,65,421,1,0,1,1,1,1,1,1,1,1,1
C5271,77,3,1,0,1,1,1,1,1,1,1,1,1
C5272,32,39,1,0,1,1,1,1,1,1,1,1,1
C5273,36,0,1,0,1,1,1,1,1,1,1,1,1
C5274,58.077,96.522,1,0,1,1,1,1,1,1,1,1,1
C5275,160.409,154,1,0,1,1,1,1,1,1,1,1,1
C5276,82,246,1,0,1,1,1,1,1,1,1,1,1
C5277,47,36,1,0,1,1,1,1,1,1,1,1,1
C5278,106.589,27.666,1,0,1,1,1,1,1,1,1,1,1
C5280,68,37,1,0,1,1,1,1,1,1,1,1,1
C5281,91.879,78,1,0,1,1,1,1,1,1,1,1,1
C5282,82,487,1,0,1,1,1,1,1,1,1,1,1
C5283,52,146,1,0,1,1,1,1,1,1,1,1,1
C5284,106,48,1,0,1,1,1,1,1,1,1,1,1
C5285,88.958,14,1,0,1,1,1,1,1,1,1,1,1
C5287,214,53,1,0,1,1,1,1,1,1,1,1,1
C5288,47,645.797,1,0,1,1,1,1,1,1,1,1,1
C5290,60,0,1,0,1,1,1,1,1,1,1,1,1
C5291,79,73,1,0,1,1,1,1,1,1,1,1,1
C5292,39,21,1,0,1,1,1,1,1,1,1,1,1
