,Metagenome_count,Metatrans_count,Pangenome,A. persicinum_MAG,A. persicinum3.15288,A. persicinum3.1556,A. persicinum3.1579,A. persicinum3.2854,A. persicinum3.3503,A. persicinum3.2857,A. persicinum3.2858,A. persicinum3.2859,A. persicinum3.2862
C224,74,3,1,1,1,1,1,1,1,1,1,1,1
C225,90.354,6,1,1,1,1,1,1,1,1,1,1,1
C226,76,230,1,1,1,1,1,1,1,1,1,1,1
C227,72,48,1,1,1,1,1,1,1,1,1,1,1
C228,56,68,1,1,1,1,1,1,1,1,1,1,1
C229,142,872,1,1,1,1,1,1,1,1,1,1,1
C231,108,95,1,1,1,1,1,1,1,1,1,1,1
C232,83,93,1,1,1,1,1,1,1,1,1,1,1
C233,19.5,4914,1,1,1,1,1,1,1,1,1,1,1
C234,54,109,1,1,1,1,1,1,1,1,1,1,1
C236,64,113,1,1,1,1,1,1,1,1,1,1,1
C237,57,3,1,1,1,1,1,1,1,1,1,1,1
C238,45,956,1,1,1,1,1,1,1,1,1,1,1
C239,69,7,1,1,1,1,1,1,1,1,1,1,1
C240,57,19.743,1,1,1,1,1,1,1,1,1,1,1
C241,81,10,1,1,1,1,1,1,1,1,1,1,1
C242,36,0,1,1,1,1,1,1,1,1,1,1,1
C243,227,281,1,1,1,1,1,1,1,1,1,1,1
C244,163,458,1,1,1,1,1,1,1,1,1,1,1
C246,74,94,1,1,1,1,1,1,1,1,1,1,1
C248,113,409,1,1,1,1,1,1,1,1,1,1,1
C249,219,92,1,1,1,1,1,1,1,1,1,1,1
C251,104,21,1,1,1,1,1,1,1,1,1,1,1
C253,184,433,1,1,1,1,1,1,1,1,1,1,1
C255,22,102,1,1,1,1,1,1,1,1,1,1,1
C258,117.208,310,1,1,1,1,1,1,1,1,1,1,1
C259,73,106,1,1,1,1,1,1,1,1,1,1,1
C260,47,49,1,1,1,1,1,1,1,1,1,1,1
C263,103,7,1,1,1,1,1,1,1,1,1,1,1
C264,31,10,1,1,1,1,1,1,1,1,1,1,1
C266,129,12,1,1,1,1,1,1,1,1,1,1,1
C267,63,69,1,1,1,1,1,1,1,1,1,1,1
C268,155.897,1533.168,1,1,1,1,1,1,1,1,1,1,1
C269,26,340,1,1,1,1,1,1,1,1,1,1,1
C271,114,392,1,1,1,1,1,1,1,1,1,1,1
C272,140,587,1,1,1,1,1,1,1,1,1,1,1
C273,42,12,1,1,1,1,1,1,1,1,1,1,1
C274,69,365,1,1,1,1,1,1,1,1,1,1,1
C275,52,199,1,1,1,1,1,1,1,1,1,1,1
C276,53,107,1,1,1,1,1,1,1,1,1,1,1
C277,31,5,1,1,1,1,1,1,1,1,1,1,1
C278,36,124,1,1,1,1,1,1,1,1,1,1,1
C279,44,47,1,1,1,1,1,1,1,1,1,1,1
C280,125,210,1,1,1,1,1,1,1,1,1,1,1
C281,50,66,1,1,1,1,1,1,1,1,1,1,1
C284,118,1442,1,1,1,1,1,1,1,1,1,1,1
C286,106,336,1,1,1,1,1,1,1,1,1,1,1
C287,69,172,1,1,1,1,1,1,1,1,1,1,1
C288,47,17,1,1,1,1,1,1,1,1,1,1,1
C289,77.644,934,1,1,1,1,1,1,1,1,1,1,1
C293,28,0,1,1,1,1,1,1,1,1,1,1,1
C294,142,55,1,1,1,1,1,1,1,1,1,1,1
C295,130,819,1,1,1,1,1,1,1,1,1,1,1
C297,201,91,1,1,1,1,1,1,1,1,1,1,1
C299,85,376,1,1,1,1,1,1,1,1,1,1,1
C303,200,17,1,1,1,1,1,1,1,1,1,1,1
C304,71,181,1,1,1,1,1,1,1,1,1,1,1
C306,91,186,1,1,1,1,1,1,1,1,1,1,1
C308,73,1911.395,1,1,1,1,1,1,1,1,1,1,1
C309,184,516,1,1,1,1,1,1,1,1,1,1,1
C310,58,100,1,1,1,1,1,1,1,1,1,1,1
C311,68.559,155,1,1,1,1,1,1,1,1,1,1,1
C312,71,447,1,1,1,1,1,1,1,1,1,1,1
C313,22,2,1,1,1,1,1,1,1,1,1,1,1
C314,24,55,1,1,1,1,1,1,1,1,1,1,1
C316,41,11,1,1,1,1,1,1,1,1,1,1,1
C317,95,128,1,1,1,1,1,1,1,1,1,1,1
C318,70,115,1,1,1,1,1,1,1,1,1,1,1
C320,93,91,1,1,1,1,1,1,1,1,1,1,1
C321,99,80,1,1,1,1,1,1,1,1,1,1,1
C322,127,189,1,1,1,1,1,1,1,1,1,1,1
C323,15,84,1,1,1,1,1,1,1,1,1,1,1
C324,24,39,1,1,1,1,1,1,1,1,1,1,1
C325,20,728,1,1,1,1,1,1,1,1,1,1,1
C326,77,84,1,1,1,1,1,1,1,1,1,1,1
C327,85,60,1,1,1,1,1,1,1,1,1,1,1
C328,32,231,1,1,1,1,1,1,1,1,1,1,1
C329,53,23,1,1,1,1,1,1,1,1,1,1,1
C331,92,37,1,1,1,1,1,1,1,1,1,1,1
C332,15,8,1,1,1,1,1,1,1,1,1,1,1
C333,35,73,1,1,1,1,1,1,1,1,1,1,1
C334,73,102,1,1,1,1,1,1,1,1,1,1,1
C335,30,111,1,1,1,1,1,1,1,1,1,1,1
C337,146.618,719,1,1,1,1,1,1,1,1,1,1,1
C338,107.181,6.596,1,1,1,1,1,1,1,1,1,1,1
C339,34,11,1,1,1,1,1,1,1,1,1,1,1
C340,215,2526,1,1,1,1,1,1,1,1,1,1,1
C341,90,127,1,1,1,1,1,1,1,1,1,1,1
C344,109.739,836.508,1,1,1,1,1,1,1,1,1,1,1
C345,27,13,1,1,1,1,1,1,1,1,1,1,1
C347,10,60,1,1,1,1,1,1,1,1,1,1,1
C348,196,305,1,1,1,1,1,1,1,1,1,1,1
C349,86,662,1,1,1,1,1,1,1,1,1,1,1
C350,124,114,1,1,1,1,1,1,1,1,1,1,1
C351,51,17,1,1,1,1,1,1,1,1,1,1,1
C352,159,196,1,1,1,1,1,1,1,1,1,1,1
C354,134.27,585.549,1,1,1,1,1,1,1,1,1,1,1
C355,36,476,1,1,1,1,1,1,1,1,1,1,1
C356,32,112,1,1,1,1,1,1,1,1,1,1,1
C357,23,5,1,1,1,1,1,1,1,1,1,1,1
C358,158,219,1,1,1,1,1,1,1,1,1,1,1
C360,159,154,1,1,1,1,1,1,1,1,1,1,1
C361,181,9,1,1,1,1,1,1,1,1,1,1,1
C362,63,93,1,1,1,1,1,1,1,1,1,1,1
C363,93,149,1,1,1,1,1,1,1,1,1,1,1
C366,42,40,1,1,1,1,1,1,1,1,1,1,1
C367,39,52,1,1,1,1,1,1,1,1,1,1,1
C368,78,298,1,1,1,1,1,1,1,1,1,1,1
C369,47,431,1,1,1,1,1,1,1,1,1,1,1
C370,20,1,1,1,1,1,1,1,1,1,1,1,1
C371,30,94,1,1,1,1,1,1,1,1,1,1,1
C373,142,44,1,1,1,1,1,1,1,1,1,1,1
C374,102,59,1,1,1,1,1,1,1,1,1,1,1
C375,20,27,1,1,1,1,1,1,1,1,1,1,1
C376,169,1039,1,1,1,1,1,1,1,1,1,1,1
C377,86,196,1,1,1,1,1,1,1,1,1,1,1
C378,67,88,1,1,1,1,1,1,1,1,1,1,1
C379,27,14,1,1,1,1,1,1,1,1,1,1,1
C380,102,294,1,1,1,1,1,1,1,1,1,1,1
C383,55,41,1,1,1,1,1,1,1,1,1,1,1
C386,47,15,1,1,1,1,1,1,1,1,1,1,1
C387,79,142,1,1,1,1,1,1,1,1,1,1,1
C388,89,41,1,1,1,1,1,1,1,1,1,1,1
C389,32,56,1,1,1,1,1,1,1,1,1,1,1
C391,100,230,1,1,1,1,1,1,1,1,1,1,1
C393,158,419,1,1,1,1,1,1,1,1,1,1,1
C394,150.456,426.333,1,1,1,1,1,1,1,1,1,1,1
C395,15,30,1,1,1,1,1,1,1,1,1,1,1
C396,35.198,387.074,1,1,1,1,1,1,1,1,1,1,1
C397,153,824,1,1,1,1,1,1,1,1,1,1,1
C398,21,77,1,1,1,1,1,1,1,1,1,1,1
C399,63,21,1,1,1,1,1,1,1,1,1,1,1
C400,116,151.066,1,1,1,1,1,1,1,1,1,1,1
C403,91,409,1,1,1,1,1,1,1,1,1,1,1
C404,25,2,1,1,1,1,1,1,1,1,1,1,1
C405,107,320,1,1,1,1,1,1,1,1,1,1,1
C406,45,29.928,1,1,1,1,1,1,1,1,1,1,1
C407,48,86,1,1,1,1,1,1,1,1,1,1,1
C408,98,38,1,1,1,1,1,1,1,1,1,1,1
C409,38,13,1,1,1,1,1,1,1,1,1,1,1
C410,154,195,1,1,1,1,1,1,1,1,1,1,1
C411,41,13,1,1,1,1,1,1,1,1,1,1,1
C413,83,2,1,1,1,1,1,1,1,1,1,1,1
C414,235.652,2472,1,1,1,1,1,1,1,1,1,1,1
C417,122,2,1,1,1,1,1,1,1,1,1,1,1
C418,109,389,1,1,1,1,1,1,1,1,1,1,1
C419,11,112,1,1,1,1,1,1,1,1,1,1,1
C420,163,768,1,1,1,1,1,1,1,1,1,1,1
C421,76,164,1,1,1,1,1,1,1,1,1,1,1
C423,142,550,1,1,1,1,1,1,1,1,1,1,1
C424,157,111,1,1,1,1,1,1,1,1,1,1,1
C425,223,11,1,1,1,1,1,1,1,1,1,1,1
C426,162,157.484,1,1,1,1,1,1,1,1,1,1,1
C427,144,3033,1,1,1,1,1,1,1,1,1,1,1
C428,51,38,1,1,1,1,1,1,1,1,1,1,1
C429,170,298,1,1,1,1,1,1,1,1,1,1,1
C430,36,99,1,1,1,1,1,1,1,1,1,1,1
C432,115,224,1,1,1,1,1,1,1,1,1,1,1
C433,61.783,299.379,1,1,1,1,1,1,1,1,1,1,1
