Group,ethanolamine.,alpha.ketoglutaric.acid,beta.cyano.L.alanine,L.tryptophan,uracil,myo.inositol,cellobiose,sucrose,D.mannitol,L.cysteine,oxalic.acid,succinic.acid,porphine,D.mannose
Root,12.52892824,8.699871858,7.315163467,6.697308298,4.961365114,3.184956456,3.408008041,5.958016942,3.566423238,4.45628995,1.566708798,2.720455576,3.787239131,0.098835437
Rhizosphere,10.21305658,10.60309512,3.800571641,3.173687311,3.915430358,4.25604344,4.012817584,1.217924988,3.216556135,2.139588817,4.576608305,3.288090201,1.935228099,5.27354803
